year,coc_number,coc_name,coc_category,pit_overall_homeless,pit_sheltered_es_homeless,pit_sheltered_th_homeless,pit_sheltered_sh_homeless,pit_sheltered_total_homeless,pit_unsheltered_homeless,pit_homeless_individuals,pit_sheltered_es_homeless_individuals,pit_sheltered_th_homeless_individuals,pit_sheltered_sh_homeless_individuals,pit_sheltered_total_homeless_individuals,pit_unsheltered_homeless_individuals,pit_homeless_people_in_families,pit_sheltered_es_homeless_people_in_families,pit_sheltered_th_homeless_people_in_families,pit_sheltered_total_homeless_people_in_families,pit_unsheltered_homeless_people_in_families,pit_homeless_family_households,pit_sheltered_es_homeless_family_households,pit_sheltered_th_homeless_family_households,pit_sheltered_total_homeless_family_households,pit_unsheltered_homeless_family_households,pit_chronically_homeless,pit_sheltered_es_chronically_homeless,pit_sheltered_sh_chronically_homeless,pit_sheltered_total_chronically_homeless,pit_unsheltered_chronically_homeless,pit_chronically_homeless_individuals,pit_sheltered_es_chronically_homeless_individuals,pit_sheltered_sh_chronically_homeless_individuals,pit_sheltered_total_chronically_homeless_individuals,pit_unsheltered_chronically_homeless_individuals,pit_chronically_homeless_people_in_families,pit_sheltered_es_chronically_homeless_people_in_families,pit_sheltered_total_chronically_homeless_people_in_families,pit_unsheltered_chronically_homeless_people_in_families,pit_homeless_veterans,pit_sheltered_es_homeless_veterans,pit_sheltered_th_homeless_veterans,pit_sheltered_sh_homeless_veterans,pit_sheltered_total_homeless_veterans,pit_unsheltered_homeless_veterans,pit_homeless_unaccompanied_youth_under_25,pit_sheltered_es_homeless_unaccompanied_youth_under_25,pit_sheltered_th_homeless_unaccompanied_youth_under_25,pit_sheltered_sh_homeless_unaccompanied_youth_under_25,pit_sheltered_total_homeless_unaccompanied_youth_under_25,pit_unsheltered_homeless_unaccompanied_youth_under_25,pit_homeless_unaccompanied_youth_under_18,pit_sheltered_es_homeless_unaccompanied_youth_under_18,pit_sheltered_th_homeless_unaccompanied_youth_under_18,pit_sheltered_sh_homeless_unaccompanied_youth_under_18,pit_sheltered_total_homeless_unaccompanied_youth_under_18,pit_unsheltered_homeless_unaccompanied_youth_under_18,pit_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_es_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_th_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_sh_homeless_unaccompanied_youth_age_18_to_24,pit_sheltered_total_homeless_unaccompanied_youth_age_18_to_24,pit_unsheltered_homeless_unaccompanied_youth_age_18_to_24,pit_homeless_parenting_youth_under_25,pit_sheltered_es_homeless_parenting_youth_under_25,pit_sheltered_th_homeless_parenting_youth_under_25,pit_sheltered_total_homeless_parenting_youth_under_25,pit_unsheltered_homeless_parenting_youth_under_25,pit_homeless_parenting_youth_under_18,pit_sheltered_es_homeless_parenting_youth_under_18,pit_sheltered_th_homeless_parenting_youth_under_18,pit_sheltered_total_homeless_parenting_youth_under_18,pit_unsheltered_homeless_parenting_youth_under_18,pit_homeless_parenting_youth_age_18_to_24,pit_sheltered_es_homeless_parenting_youth_age_18_to_24,pit_sheltered_th_homeless_parenting_youth_age_18_to_24,pit_sheltered_total_homeless_parenting_youth_age_18_to_24,pit_unsheltered_homeless_parenting_youth_age_18_to_24,pit_homeless_children_of_parenting_youth,pit_sheltered_es_homeless_children_of_parenting_youth,pit_sheltered_th_homeless_children_of_parenting_youth,pit_sheltered_total_homeless_children_of_parenting_youth,pit_unsheltered_homeless_children_of_parenting_youth
2007,AR-501,Fayetteville/Northwest Arkansas CoC,Other Urban CoCs,279,165,79,0,244,35,157,108,25,0,133,24,122,57,54,111,11,47,27,16,43,4,,,,,,34,,,25,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-502,Conway/Arkansas River Valley,,163,11,48,0,59,104,87,9,10,0,19,68,76,2,38,40,36,26,2,15,17,9,,,,,,15,,,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-504,Delta Hills CoC,Rural CoCs,901,114,277,0,391,510,626,80,267,0,347,279,275,34,10,44,231,127,13,4,17,110,,,,,,228,,,43,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-505,Southeast Arkansas CoC,Rural CoCs,130,102,18,0,120,10,35,23,9,0,32,3,95,79,9,88,7,24,19,3,22,2,,,,,,25,,,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-506,"Johnson, Pope, Yell Counties",,21,4,14,0,18,3,21,4,14,0,18,3,0,0,0,0,0,0,0,0,0,0,,,,,,1,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-508,Fort Smith CoC,Rural CoCs,194,87,60,0,147,47,157,59,52,0,111,46,37,28,8,36,1,17,10,6,16,1,,,,,,35,,,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-509,Hot Springs/South West Arkansas CoC,,4,2,0,0,2,2,4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AZ-500,Arizona Balance of State CoC,Rural CoCs,2997,472,541,0,1013,1984,2235,266,266,0,532,1703,762,206,275,481,281,274,68,90,158,116,,,,,,425,,,93,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AR-510,"Hempstead, Sevier, Howard, Little River  Counties CoC",,322,117,0,0,117,205,268,95,0,0,95,173,54,22,0,22,32,22,11,0,11,11,,,,,,20,,,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AZ-501,Tucson/Pima County CoC,Major Cities,3201,687,1323,0,2010,1191,2258,467,692,0,1159,1099,943,220,631,851,92,301,75,194,269,32,,,,,,890,,,150,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,AZ-502,"Phoenix, Mesa/Maricopa County CoC",Major Cities,8448,2775,2820,0,5595,2853,5527,1679,1053,0,2732,2795,2921,1096,1767,2863,58,884,320,544,864,20,,,,,,1489,,,407,1082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-500,San Jose/Santa Clara City & County CoC,Major Cities,7202,999,1102,0,2101,5101,5945,759,346,0,1105,4840,1257,240,756,996,261,326,76,221,297,29,,,,,,1757,,,223,1534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-501,San Francisco CoC,Major Cities,5703,2140,772,0,2912,2791,5171,1818,582,0,2400,2771,532,322,190,512,20,194,113,73,186,8,,,,,,1735,,,738,997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-502,"Oakland, Berkeley/Alameda County CoC",Major Cities,4838,992,1350,0,2342,2496,3026,675,582,0,1257,1769,1812,317,768,1085,727,653,108,261,369,284,,,,,,1257,,,318,939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-503,Sacramento City & County CoC,Major Cities,2452,709,738,0,1447,1005,1965,574,408,0,982,983,487,135,330,465,22,163,51,106,157,6,,,,,,718,,,215,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",Suburban CoCs,1314,453,329,0,782,532,888,278,129,0,407,481,426,175,200,375,51,149,55,71,126,23,,,,,,297,,,79,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-505,Richmond/Contra Costa County CoC,Suburban CoCs,4062,522,381,0,903,3159,2892,225,107,0,332,2560,1170,297,274,571,599,344,129,69,198,146,,,,,,1225,,,88,1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-506,"Salinas/Monterey, San Benito Counties CoC",Rural CoCs,1402,210,299,0,509,893,1149,177,85,0,262,887,253,33,214,247,6,79,12,65,77,2,,,,,,336,,,27,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-507,Marin County CoC,Suburban CoCs,1002,139,463,0,602,400,846,122,343,0,465,381,156,17,120,137,19,52,6,37,43,9,,,,,,172,,,41,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-508,Watsonville/Santa Cruz City & County CoC,Suburban CoCs,2789,284,202,0,486,2303,2408,183,78,0,261,2147,381,101,124,225,156,127,32,42,74,53,,,,,,1161,,,68,1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-509,Mendocino County CoC,Rural CoCs,1422,187,97,0,284,1138,1192,134,30,0,164,1028,230,53,67,120,110,152,23,19,42,110,,,,,,520,,,136,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-510,"Turlock, Modesto/Stanislaus County CoC",Suburban CoCs,1593,415,219,0,634,959,1001,249,33,0,282,719,592,166,186,352,240,198,56,61,117,81,,,,,,552,,,82,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-511,Stockton/San Joaquin County CoC,Other Urban CoCs,2479,1614,562,0,2176,303,1657,1279,138,0,1417,240,822,335,424,759,63,264,94,131,225,39,,,,,,201,,,144,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-512,Daly/San Mateo County CoC,Suburban CoCs,1798,205,499,0,704,1094,1388,89,221,0,310,1078,410,116,278,394,16,126,34,88,122,4,,,,,,475,,,25,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-513,"Visalia/Kings, Tulare Counties CoC",Other Urban CoCs,1106,150,130,0,280,826,537,72,96,0,168,369,569,78,34,112,457,152,24,13,37,115,,,,,,49,,,6,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-514,Fresno City & County/Madera County CoC,Major Cities,4247,1183,1552,0,2735,1512,2666,951,1078,0,2029,637,1581,232,474,706,875,488,109,192,301,187,,,,,,941,,,629,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",Suburban CoCs,587,62,388,0,450,137,368,52,192,0,244,124,219,10,196,206,13,60,3,53,56,4,,,,,,48,,,22,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Rural CoCs,296,124,126,0,250,46,147,74,47,0,121,26,149,50,79,129,20,49,16,23,39,10,,,,,,86,,,67,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-517,Napa City & County CoC,Other Urban CoCs,365,126,93,0,219,146,236,88,26,0,114,122,129,38,67,105,24,32,11,13,24,8,,,,,,150,,,52,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-518,Vallejo/Solano County CoC,Other Urban CoCs,1956,270,187,0,457,1499,818,109,116,0,225,593,1138,161,71,232,906,475,81,32,113,362,,,,,,524,,,31,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-519,"Chico, Paradise/Butte County CoC",Rural CoCs,1478,759,177,0,936,542,1057,536,53,0,589,468,421,223,124,347,74,134,60,31,91,43,,,,,,353,,,188,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-520,Merced City & County CoC,Suburban CoCs,2641,137,84,0,221,2420,2195,117,69,0,186,2009,446,20,15,35,411,131,6,4,10,121,,,,,,701,,,0,701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-521,"Davis, Woodland/Yolo County CoC",Suburban CoCs,414,61,167,0,228,186,292,48,62,0,110,182,122,13,105,118,4,37,4,32,36,1,,,,,,93,,,15,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-522,Humboldt County CoC,Rural CoCs,907,172,150,0,322,585,366,87,52,0,139,227,541,85,98,183,358,146,27,30,57,89,,,,,,219,,,29,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-523,"Colusa, Glenn, Trinity Counties CoC",Rural CoCs,155,16,38,0,54,101,61,7,11,0,18,43,94,9,27,36,58,24,3,7,10,14,,,,,,27,,,0,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-524,Yuba City & County/Sutter County CoC,Suburban CoCs,362,48,251,0,299,63,212,39,114,0,153,59,150,9,137,146,4,45,4,39,43,2,,,,,,44,,,9,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-525,El Dorado County CoC,Suburban CoCs,107,38,53,0,91,16,65,22,32,0,54,11,42,16,21,37,5,12,4,7,11,1,,,,,,8,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",Rural CoCs,400,58,21,0,79,321,252,26,0,0,26,226,148,32,21,53,95,51,13,6,19,32,,,,,,90,,,14,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-600,Los Angeles City & County CoC,Major Cities,47862,5525,5917,0,11442,36420,44185,4492,3925,0,8417,35768,3677,1033,1992,3025,652,1165,297,612,909,256,,,,,,19031,,,1604,17427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-601,San Diego City and County CoC,Major Cities,7326,1152,2829,0,3981,3345,5295,756,1589,0,2345,2950,2031,396,1240,1636,395,685,132,434,566,119,,,,,,975,,,268,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-602,"Santa Ana, Anaheim/Orange County CoC",Suburban CoCs,3649,1410,1168,0,2578,1071,2112,936,360,0,1296,816,1537,474,808,1282,255,513,171,268,439,74,,,,,,257,,,36,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-603,Santa Maria/Santa Barbara County CoC,Suburban CoCs,4253,554,926,0,1480,2773,3212,281,430,0,711,2501,1041,273,496,769,272,245,81,97,178,67,,,,,,503,,,244,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-604,Bakersfield/Kern County CoC,Other Urban CoCs,1537,389,516,0,905,632,1248,252,394,0,646,602,289,137,122,259,30,89,40,43,83,6,,,,,,316,,,69,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-606,Long Beach CoC,Major Cities,3829,613,1066,0,1679,2150,2814,386,803,0,1189,1625,1015,227,263,490,525,320,75,88,163,157,,,,,,628,,,0,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-607,Pasadena CoC,Other Urban CoCs,969,322,112,0,434,535,676,235,63,0,298,378,293,87,49,136,157,74,23,12,35,39,,,,,,279,,,59,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-608,Riverside City & County CoC,Suburban CoCs,4508,484,846,0,1330,3178,3343,263,349,0,612,2731,1165,221,497,718,447,338,69,136,205,133,,,,,,1003,,,154,849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-609,San Bernardino City & County CoC,Suburban CoCs,6969,807,413,0,1220,5749,6191,317,292,0,609,5582,778,490,121,611,167,237,152,40,192,45,,,,,,2386,,,142,2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-611,"Oxnard, San Buenaventura/Ventura County CoC",Other Urban CoCs,1961,218,208,0,426,1535,1513,145,102,0,247,1266,448,73,106,179,269,132,16,36,52,80,,,,,,301,,,42,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-612,Glendale CoC,Other Urban CoCs,296,151,82,0,233,63,161,113,10,0,123,38,135,38,72,110,25,50,16,26,42,8,,,,,,79,,,64,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-613,Imperial County CoC,Suburban CoCs,342,89,24,0,113,229,54,54,0,0,54,0,288,35,24,59,229,29,17,12,29,0,,,,,,229,,,0,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CA-614,San Luis Obispo County CoC,Suburban CoCs,2408,133,54,0,187,2221,1348,76,54,0,130,1218,1060,57,0,57,1003,193,22,0,22,171,,,,,,615,,,15,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CO-500,Colorado Balance of State CoC,Rural CoCs,4450,601,492,0,1093,3357,2633,347,104,0,451,2182,1817,254,388,642,1175,613,104,147,251,362,,,,,,1443,,,31,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CO-503,Metropolitan Denver CoC,Major Cities,8698,2701,2484,0,5185,3513,3449,1554,615,0,2169,1280,5249,1147,1869,3016,2233,1994,459,647,1106,888,,,,,,412,,,272,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CO-504,Colorado Springs/El Paso County CoC,Major Cities,1077,328,365,0,693,384,762,257,177,0,434,328,315,71,188,259,56,97,21,54,75,22,,,,,,195,,,101,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",Other Urban CoCs,919,394,395,0,789,130,627,300,204,0,504,123,292,94,191,285,7,93,31,59,90,3,,,,,,135,,,75,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,CT-505,Connecticut Balance of State CoC,Suburban CoCs,3563,1868,1014,0,2882,681,2546,1331,621,0,1952,594,1017,537,393,930,87,349,180,134,314,35,,,,,,888,,,521,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,DC-500,District of Columbia CoC,Major Cities,5320,3248,1732,0,4980,340,3717,2455,922,0,3377,340,1603,793,810,1603,0,507,246,261,507,0,,,,,,1760,,,1439,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,DE-500,Delaware Statewide CoC,Suburban CoCs,1061,439,415,0,854,207,716,283,247,0,530,186,345,156,168,324,21,119,56,55,111,8,,,,,,150,,,76,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,FL-500,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",Suburban CoCs,1012,274,220,0,494,518,777,197,145,0,342,435,235,77,75,152,83,79,20,25,45,34,,,,,,135,,,0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
