year,state,coc_name,coc_number,spm0_coc_award_amount,ahar_part_1_coc_category,spm0_total_non_dv_beds_on_hic_es_th,spm0_total_non_dv_hmis_beds_on_hic_es_th,spm1_es_sh_avg_days,spm1_es_sh_median_days,spm1_es_sh_th_avg_days,spm1_es_sh_th_median_days,spm2_total_persons_exited_so_es_th_sh_ph,spm2_total_persons_returns_in_6_mths,spm2_total_persons_returns_in_12_mths_should_include_the_6_month_cohort,spm2_total_persons_returns_in_24_mths_should_include_both_the_6_and_12_month_cohort,spm3_total_hmis_count,spm4s_total_stayers_persons,spm4s_total_stayers_increased_earned_income,spm4s_total_stayers_increased_non_employment_cash_income,spm4s_total_stayers_increased_total_income,spm4l_total_leavers_persons,spm4l_total_leavers_increased_earned_income,spm4l_total_leavers_increased_non_employment_cash_income,spm4l_total_leavers_increased_total_income,spm5_es_sh_th_1st_time_homeless,spm5_es_sh_th_ph_1st_time_homeless,spm7_total_persons_exiting_street_outreach_so,spm7_total_persons_exited_so_to_temporary_destinations,spm7_total_persons_exited_so_to_permanent_destinations,spm7_total_persons_exiting_es_th_sh_ph_rrh,spm7_total_persons_exiting_es_th_sh_ph_rrh_to_permanent_housing,spm7_total_persons_exiting_ph_or_remaining_in_ph_at_end_of_reporting_period_measure_excludes_ph_rrh,spm7_total_persons_exited_ph_to_permanent_destinations_or_remained_in_ph_for_6_mos_measure_excludes_ph_rrh
2017,AR,Fayetteville/Northwest Arkansas CoC,AR-501,345423,"Smaller Cities, Counties, and Regional CoCs",296,177,55,10,102,15,124,10,10,16,831,11,0,0,0,9,3,0,3,544,571,0,0,0,689,181,55,32
2017,AR,Arkansas  Balance of State  CoC,AR-503,401154,Balance of State and Statewide CoCs,414,241,47,12,57,14,317,28,35,55,1500,21,0,7,7,57,24,2,25,1063,1066,0,0,0,1202,304,17,16
2017,AR,Southeast Arkansas CoC,AR-505,257589,"Smaller Cities, Counties, and Regional CoCs",115,0,52,9,52,9,80,12,17,25,239,0,0,0,0,0,0,0,0,124,124,0,0,0,129,35,5,5
2017,AR,Fort Smith CoC,AR-508,0,"Smaller Cities, Counties, and Regional CoCs",138,0,43,7,71,7,115,8,17,21,469,0,0,0,0,0,0,0,0,346,346,0,0,0,411,57,0,0
2017,AZ,Arizona Balance of State CoC,AZ-500,3880375,Balance of State and Statewide CoCs,700,598,49,18,69,22,1787,118,178,278,4055,320,28,84,107,319,72,65,124,2681,4284,893,131,102,4192,1776,1149,1084
2017,AZ,Tucson/Pima County CoC,AZ-501,8395741,Major Cities,1226,1187,54,25,89,36,2442,394,531,709,4990,480,24,87,109,477,115,66,174,3007,3484,981,124,142,4692,2145,1134,1065
2017,AZ,"Phoenix, Mesa/Maricopa County CoC",AZ-502,25129344,Major Cities,2970,2805,63,36,97,50,5657,618,989,1420,14101,2172,88,720,778,1207,262,246,407,8384,9746,5124,1373,495,11791,3847,6420,5945
2017,CA,San Jose/Santa Clara City & County CoC,CA-500,21305510,Major Cities,1593,1593,57,30,124,52,1598,126,197,261,6418,266,24,50,65,597,139,78,197,3572,4713,108,17,10,5279,1474,1780,1655
2017,CA,San Francisco CoC,CA-501,40532368,Major Cities,2642,1880,580,537,590,534,900,51,73,87,7859,1935,113,671,671,427,44,128,164,1005,1974,752,2,1,861,592,6843,6618
2017,CA,"Oakland, Berkeley/Alameda County CoC",CA-502,34329783,Major Cities,1444,1203,99,59,170,93,2321,184,290,433,3481,1233,78,278,336,638,102,133,211,1973,2979,2122,756,70,3004,1389,2292,2226
2017,CA,Sacramento City & County CoC,CA-503,19599048,Major Cities,1329,1156,75,41,121,66,2982,312,456,721,4485,1232,95,525,594,615,198,129,313,2607,5138,1149,44,116,4732,2007,2636,2565
2017,CA,"Santa Rosa, Petaluma/Sonoma County CoC",CA-504,3222762,"Smaller Cities, Counties, and Regional CoCs",874,807,87,61,112,76,930,70,128,182,2716,247,14,49,62,104,25,30,50,2096,2395,0,0,0,2661,1087,759,702
2017,CA,Richmond/Contra Costa County CoC,CA-505,14234434,"Smaller Cities, Counties, and Regional CoCs",634,381,116,77,135,88,1120,78,115,178,1695,520,48,244,281,129,23,37,54,1000,1707,1392,445,6,1810,1043,952,921
2017,CA,"Salinas/Monterey, San Benito Counties CoC",CA-506,1802763,"Smaller Cities, Counties, and Regional CoCs",842,603,50,32,194,94,695,46,72,88,1558,92,23,29,47,148,33,27,53,901,1087,158,38,25,1217,537,90,87
2017,CA,Marin County CoC,CA-507,4195529,"Smaller Cities, Counties, and Regional CoCs",278,242,90,64,180,76,341,42,65,79,721,112,14,48,55,41,9,24,26,222,558,0,0,0,743,350,560,539
2017,CA,Watsonville/Santa Cruz City & County CoC,CA-508,2556056,"Smaller Cities, Counties, and Regional CoCs",464,399,113,67,205,115,339,10,32,48,958,103,5,46,48,61,10,8,18,437,660,0,0,0,774,337,10,10
2017,CA,Mendocino County CoC,CA-509,1570243,"Smaller Cities, Counties, and Regional CoCs",118,118,47,16,112,42,107,9,10,16,372,130,6,35,35,82,5,7,9,409,441,0,0,0,485,55,323,294
2017,CA,"Turlock, Modesto/Stanislaus County CoC",CA-510,3135250,"Smaller Cities, Counties, and Regional CoCs",820,820,73,16,88,16,743,63,93,135,5713,240,18,78,90,123,20,15,32,4262,4393,44,5,4,4985,1295,378,370
2017,CA,Stockton/San Joaquin County CoC,CA-511,4285672,"Smaller Cities, Counties, and Regional CoCs",1110,826,41,16,54,16,910,92,141,194,7245,304,28,172,192,172,65,57,103,5624,5913,1100,41,3,6543,932,763,722
2017,CA,Daly/San Mateo County CoC,CA-512,11280155,"Smaller Cities, Counties, and Regional CoCs",584,574,42,15,98,66,1030,82,120,160,2154,282,22,115,119,773,125,55,163,1134,1505,264,17,62,1846,849,584,563
2017,CA,"Visalia/Kings, Tulare Counties CoC",CA-513,2257440,"Smaller Cities, Counties, and Regional CoCs",349,315,32,16,73,24,524,49,79,116,1407,78,7,21,26,222,32,35,62,1206,1396,296,52,81,1434,443,140,132
2017,CA,Fresno City & County/Madera County CoC,CA-514,9124064,Major Cities,381,212,44,18,78,25,994,71,93,135,1200,287,7,80,85,360,16,44,59,884,1579,654,57,46,1137,786,738,672
2017,CA,"Roseville, Rocklin/Placer, Nevada Counties CoC",CA-515,1227123,"Smaller Cities, Counties, and Regional CoCs",338,295,104,53,115,58,445,63,97,132,1316,96,6,31,34,79,6,14,19,756,923,117,10,13,1146,350,202,179
2017,CA,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",CA-516,317347,"Smaller Cities, Counties, and Regional CoCs",723,24,0,0,890,791,1,0,0,0,82,0,0,0,0,0,0,0,0,19,112,133,2,34,166,92,1,1
2017,CA,Napa City & County CoC,CA-517,725047,"Smaller Cities, Counties, and Regional CoCs",157,144,89,73,129,89,290,38,71,96,599,29,5,6,8,47,9,7,15,298,342,439,10,230,569,239,42,41
2017,CA,Vallejo/Solano County CoC,CA-518,1247979,"Smaller Cities, Counties, and Regional CoCs",366,276,103,48,142,74,221,17,28,33,762,48,0,11,11,62,4,4,7,467,987,0,0,0,1041,480,116,106
2017,CA,"Chico, Paradise/Butte County CoC",CA-519,542712,"Smaller Cities, Counties, and Regional CoCs",428,420,61,31,86,41,301,48,71,104,1243,34,0,10,10,25,2,2,4,859,926,0,0,0,938,229,311,294
2017,CA,Merced City & County CoC,CA-520,712751,"Smaller Cities, Counties, and Regional CoCs",136,96,62,22,63,23,48,4,7,14,497,30,1,7,8,12,0,1,1,263,356,57,9,19,518,39,75,70
2017,CA,"Davis, Woodland/Yolo County CoC",CA-521,476153,"Smaller Cities, Counties, and Regional CoCs",201,64,91,49,109,62,300,26,54,61,327,17,0,3,3,16,0,1,1,215,263,65,13,39,340,174,52,51
2017,CA,Humboldt County CoC,CA-522,834362,"Smaller Cities, Counties, and Regional CoCs",398,250,84,51,124,70,366,19,37,86,660,36,0,15,15,83,3,18,21,417,460,106,44,34,510,227,61,55
2017,CA,"Colusa, Glenn, Trinity Counties CoC",CA-523,0,"Smaller Cities, Counties, and Regional CoCs",81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0
2017,CA,Yuba City & County/Sutter County CoC,CA-524,0,"Smaller Cities, Counties, and Regional CoCs",252,104,234,82,163,84,82,3,3,3,327,0,0,0,0,0,0,0,0,237,485,69,14,18,449,276,0,0
2017,CA,El Dorado County CoC,CA-525,9817,"Smaller Cities, Counties, and Regional CoCs",130,93,117,62,138,62,40,8,11,13,256,0,0,0,0,0,0,0,0,195,212,27,3,13,201,50,2,2
2017,CA,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",CA-526,301121,"Smaller Cities, Counties, and Regional CoCs",73,73,58,35,74,41,380,12,18,34,265,12,2,4,5,7,2,4,6,207,479,0,0,0,239,154,241,221
2017,CA,Tehama County CoC,CA-527,0,"Smaller Cities, Counties, and Regional CoCs",17,16,22,10,35,14,3,0,0,0,226,0,0,0,0,22,2,5,7,156,201,0,0,0,268,86,0,0
2017,CA,"Alpine, Inyo, Mono Counties CoC",CA-530,0,"Smaller Cities, Counties, and Regional CoCs",0,0,16,3,16,3,31,3,3,3,104,0,0,0,0,0,0,0,0,102,183,3,2,1,156,70,0,0
2017,CA,Los Angeles City & County CoC,CA-600,108148295,Major Cities,13690,5052,235,73,388,163,10120,652,1036,1576,17284,4709,138,480,571,1646,240,376,569,6853,18138,7745,884,518,12101,5372,14352,13754
2017,CA,San Diego City and County CoC,CA-601,19504303,Major Cities,3186,3169,81,42,146,79,4962,678,964,1321,9823,677,41,149,175,1139,275,165,403,5556,8968,1150,239,110,9704,4218,4411,4171
2017,CA,"Santa Ana, Anaheim/Orange County CoC",CA-602,22807570,"Smaller Cities, Counties, and Regional CoCs",1962,1077,62,27,117,57,1976,87,122,202,4454,850,69,358,399,407,122,101,189,2922,4269,1364,47,21,4184,2069,2451,2419
2017,CA,Santa Maria/Santa Barbara County CoC,CA-603,1684716,"Smaller Cities, Counties, and Regional CoCs",700,517,101,53,116,56,988,109,153,234,2263,113,10,31,37,73,24,20,35,1260,1520,246,13,10,1850,605,273,262
2017,CA,Bakersfield/Kern County CoC,CA-604,5376223,"Smaller Cities, Counties, and Regional CoCs",587,587,89,32,116,42,1204,127,214,261,2437,477,25,225,237,550,49,163,185,1561,2282,78,62,3,2482,1383,1677,1629
2017,CA,Long Beach CoC,CA-606,7801973,Major Cities,487,348,63,47,110,74,722,36,47,75,1228,233,14,80,88,394,51,116,157,873,1378,102,71,18,1292,728,1572,1421
2017,CA,Pasadena CoC,CA-607,3163253,"Smaller Cities, Counties, and Regional CoCs",163,163,94,65,103,80,266,3,6,15,810,158,9,66,66,59,16,5,21,604,655,51,14,20,671,96,446,430
2017,CA,Riverside City & County CoC,CA-608,9649536,"Smaller Cities, Counties, and Regional CoCs",774,751,58,24,72,33,2388,232,353,491,4302,374,35,127,156,533,113,100,191,2961,3604,2638,413,92,4066,1806,1361,1322
2017,CA,San Bernardino City & County CoC,CA-609,10066156,"Smaller Cities, Counties, and Regional CoCs",634,634,44,19,82,31,2600,197,303,460,2898,821,56,203,237,1407,179,120,264,1987,4583,929,185,48,5331,3047,1605,1566
2017,CA,"Oxnard, San Buenaventura/Ventura County CoC",CA-611,2189139,"Smaller Cities, Counties, and Regional CoCs",278,178,107,65,166,116,576,11,24,41,557,104,15,17,32,79,27,13,40,358,635,294,50,130,548,319,223,222
2017,CA,Glendale CoC,CA-612,2347395,"Smaller Cities, Counties, and Regional CoCs",94,80,82,64,149,98,111,1,2,2,260,68,13,29,40,27,7,8,12,180,193,114,6,0,177,90,130,122
2017,CA,Imperial County CoC,CA-613,161815,"Smaller Cities, Counties, and Regional CoCs",98,70,73,28,73,28,321,34,78,95,96,0,0,0,0,0,0,0,0,331,331,24,8,5,389,355,0,0
2017,CA,San Luis Obispo County CoC,CA-614,906615,"Smaller Cities, Counties, and Regional CoCs",160,120,60,19,76,20,161,13,20,24,894,42,4,23,26,15,1,5,6,643,993,22,2,9,844,120,91,78
2017,CO,Colorado Balance of State CoC,CO-500,2810881,Balance of State and Statewide CoCs,1332,599,115,88,159,112,900,68,104,154,4686,677,7,54,59,450,46,89,131,3140,3468,27,9,0,786,483,311,294
2017,CO,Metropolitan Denver CoC,CO-503,24567573,Major Cities,3985,1701,127,90,205,139,4105,660,885,1103,8811,1572,88,540,590,430,56,109,153,4953,5958,546,15,48,3192,1235,2486,2390
2017,CO,Colorado Springs/El Paso County CoC,CO-504,2333697,Major Cities,943,915,34,15,108,30,1276,129,209,276,5333,140,13,30,39,150,48,30,72,3951,4317,14,0,4,2525,728,623,573
2017,CT,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT-503,10265112,"Smaller Cities, Counties, and Regional CoCs",698,656,94,62,133,77,1049,81,141,209,1876,444,56,190,223,191,35,66,90,994,1147,50,22,23,1226,687,1715,1658
2017,CT,Connecticut Balance of State CoC,CT-505,34305156,Balance of State and Statewide CoCs,2075,2010,64,42,122,51,4265,426,667,921,7295,1559,117,499,578,527,116,174,259,3849,4460,226,91,75,5135,2282,4444,4362
2017,DC,District of Columbia CoC,DC-500,21497405,Major Cities,7064,6727,192,77,204,92,5605,366,603,901,16052,750,40,154,188,160,25,58,69,7767,7776,598,286,312,5751,3729,3159,3107
2017,DE,Delaware Statewide CoC,DE-500,7723605,Balance of State and Statewide CoCs,1067,649,52,31,75,39,1278,131,196,277,3112,272,21,89,107,205,26,34,53,2283,2836,47,11,25,3036,1250,755,726
2017,FL,"Sarasota, Bradenton/Manatee, Sarasota Counties CoC",FL-500,799101,"Smaller Cities, Counties, and Regional CoCs",906,896,42,17,65,25,1073,145,204,258,4736,45,8,3,11,144,24,9,27,3055,3508,52,3,12,4264,1072,504,443
2017,FL,Tampa/Hillsborough County CoC,FL-501,6129972,"Smaller Cities, Counties, and Regional CoCs",976,933,72,47,99,59,2139,162,234,364,4019,185,9,33,42,135,14,23,32,2718,3601,711,208,82,4204,2214,1396,1273
2017,FL,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL-502,3957412,"Smaller Cities, Counties, and Regional CoCs",1911,1877,62,35,76,41,3068,717,901,1090,9258,208,12,42,50,241,22,35,54,5492,5817,610,579,9,7956,2583,1257,1157
2017,FL,"Lakeland, Winterhaven/Polk County CoC",FL-503,1787775,"Smaller Cities, Counties, and Regional CoCs",524,404,36,15,79,20,741,67,108,162,2506,69,8,9,15,95,19,11,28,1750,1983,39,9,10,2199,634,200,176
2017,FL,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL-504,1305347,"Smaller Cities, Counties, and Regional CoCs",371,366,22,13,73,32,1089,96,114,154,1541,46,4,12,16,113,32,19,44,1091,1373,157,32,46,1550,785,187,173
2017,FL,"Fort Walton Beach/Okaloosa, Walton Counties CoC",FL-505,605695,"Smaller Cities, Counties, and Regional CoCs",110,110,67,69,78,71,370,18,21,37,224,0,0,0,0,35,0,5,5,186,339,211,17,85,308,203,47,47
2017,FL,Tallahassee/Leon County CoC,FL-506,1291383,"Smaller Cities, Counties, and Regional CoCs",687,526,80,25,88,30,1012,158,231,302,3504,97,5,23,28,20,2,9,11,2073,2310,228,59,62,3093,909,424,379
2017,FL,"Orlando/Orange, Osceola, Seminole Counties CoC",FL-507,7326489,"Smaller Cities, Counties, and Regional CoCs",2045,1671,74,36,105,53,2997,319,443,604,6034,261,9,115,120,632,95,69,153,3866,5194,768,71,236,5339,2118,810,772
2017,FL,"Gainesville/Alachua, Putnam Counties CoC",FL-508,662578,"Smaller Cities, Counties, and Regional CoCs",272,272,41,20,48,23,951,107,161,206,1887,0,0,0,0,10,2,2,3,1423,1726,160,77,16,1818,872,952,863
2017,FL,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",FL-509,1629149,"Smaller Cities, Counties, and Regional CoCs",160,148,38,20,112,55,585,45,61,80,598,176,5,102,105,30,4,17,20,424,995,66,23,5,751,658,414,384
2017,FL,"Jacksonville-Duval, Clay Counties CoC",FL-510,4337190,Major Cities,1393,655,114,83,132,90,962,42,75,133,1780,159,11,25,34,122,24,8,25,1801,2457,427,30,276,2590,863,817,751
2017,FL,"Pensacola/Escambia, Santa Rosa Counties CoC",FL-511,707257,"Smaller Cities, Counties, and Regional CoCs",705,578,80,11,137,21,881,57,95,140,3156,34,2,14,16,86,13,16,26,2132,2425,588,305,37,2574,675,62,52
2017,FL,St. Johns County CoC,FL-512,121598,"Smaller Cities, Counties, and Regional CoCs",120,120,25,11,89,25,460,33,45,50,671,8,1,0,1,18,2,0,2,456,481,61,1,20,592,291,14,14
2017,FL,"Palm Bay, Melbourne/Brevard County CoC",FL-513,666117,"Smaller Cities, Counties, and Regional CoCs",699,549,62,23,182,71,741,43,76,111,1162,90,4,12,15,70,7,19,25,745,1189,47,8,5,936,703,214,203
2017,FL,Ocala/Marion County CoC,FL-514,245601,"Smaller Cities, Counties, and Regional CoCs",298,298,3,3,3,3,303,8,12,24,1291,803,7,12,19,1207,11,11,22,0,0,0,0,0,1352,511,16,11
2017,FL,"Panama City/Bay, Jackson Counties CoC",FL-515,30765,"Smaller Cities, Counties, and Regional CoCs",128,118,10,5,29,6,428,30,48,77,1481,0,0,0,0,0,0,0,0,1184,1413,515,41,437,1393,228,56,56
2017,FL,"Hendry, Hardee, Highlands Counties CoC",FL-517,158206,"Smaller Cities, Counties, and Regional CoCs",62,62,83,56,177,155,0,0,0,0,60,5,0,0,0,3,0,0,0,66,133,0,0,0,95,60,0,0
2017,FL,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",FL-518,339388,"Smaller Cities, Counties, and Regional CoCs",49,49,48,30,75,38,413,178,184,187,651,8,3,2,5,0,0,0,0,510,671,102,7,21,655,351,11,11
2017,FL,Pasco County CoC,FL-519,839421,"Smaller Cities, Counties, and Regional CoCs",164,164,0,0,0,0,0,0,0,0,253,36,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0
2017,FL,"Citrus, Hernando, Lake, Sumter Counties CoC",FL-520,370361,"Smaller Cities, Counties, and Regional CoCs",288,280,65,22,125,49,544,41,51,67,832,27,5,8,11,14,1,4,4,565,830,677,65,186,757,332,130,119
2017,FL,Miami-Dade County CoC,FL-600,29811201,Major Cities,2490,2425,107,70,135,86,4192,626,862,1129,8114,1070,61,326,370,177,33,82,108,4512,5448,4367,4183,86,6754,3991,4145,4089
2017,FL,Ft Lauderdale/Broward County CoC,FL-601,9505090,"Smaller Cities, Counties, and Regional CoCs",1563,1163,67,51,93,59,2123,323,459,627,4789,244,16,35,51,204,35,17,50,3221,3949,3323,2595,81,4178,1889,916,893
2017,FL,Punta Gorda/Charlotte County CoC,FL-602,199572,"Smaller Cities, Counties, and Regional CoCs",76,76,48,39,72,46,733,44,64,89,497,0,0,0,0,18,3,7,10,363,505,96,32,48,545,497,115,105
2017,FL,"Ft Myers, Cape Coral/Lee County CoC",FL-603,1667288,"Smaller Cities, Counties, and Regional CoCs",196,171,126,49,135,54,430,63,104,134,1418,93,7,36,42,124,19,24,43,864,1012,145,75,32,1083,580,194,166
2017,FL,Monroe County CoC,FL-604,479542,"Smaller Cities, Counties, and Regional CoCs",387,348,61,21,125,33,405,55,88,99,1241,127,9,23,20,230,85,28,108,698,789,574,79,118,1086,191,237,197
2017,FL,West Palm Beach/Palm Beach County CoC,FL-605,5203892,"Smaller Cities, Counties, and Regional CoCs",474,474,59,47,89,59,1972,159,241,356,1816,216,22,58,71,127,46,32,69,1184,1672,845,104,289,1544,1033,1085,1044
2017,FL,Naples/Collier County CoC,FL-606,286151,"Smaller Cities, Counties, and Regional CoCs",353,12,147,66,147,66,84,7,8,9,172,6,0,0,0,1,0,0,0,16,93,260,1,8,19,6,25,25
2017,GA,Atlanta CoC,GA-500,7041634,Major Cities,3347,1675,65,31,145,64,3652,344,546,757,9359,380,29,94,118,242,37,76,106,5759,7115,2054,308,310,7073,2184,2288,2100
2017,GA,Georgia Balance of State CoC,GA-501,17416695,Balance of State and Statewide CoCs,1317,922,72,20,125,27,3651,186,314,450,4571,1082,72,253,319,602,106,127,221,3549,5864,314,114,63,4773,2735,2919,2681
2017,GA,Fulton County CoC,GA-502,2495096,"Smaller Cities, Counties, and Regional CoCs",264,225,107,60,216,91,879,21,31,50,644,68,6,12,17,68,14,15,27,400,776,3,2,1,635,347,535,481
2017,GA,Athens-Clarke County CoC,GA-503,709605,"Smaller Cities, Counties, and Regional CoCs",132,132,125,97,127,97,290,23,39,53,344,60,7,14,19,23,5,4,8,248,349,0,0,0,327,204,179,164
2017,GA,Augusta-Richmond County CoC,GA-504,607258,"Smaller Cities, Counties, and Regional CoCs",209,164,121,26,122,26,344,33,44,53,1388,22,0,2,2,74,19,8,27,996,1098,0,0,0,1249,190,31,30
2017,GA,Columbus-Muscogee/Russell County CoC,GA-505,1360522,"Smaller Cities, Counties, and Regional CoCs",304,163,91,44,112,55,223,19,28,36,504,111,7,17,22,133,40,15,53,357,643,3,2,1,521,267,225,197
2017,GA,Marietta/Cobb County CoC,GA-506,2123692,"Smaller Cities, Counties, and Regional CoCs",197,179,41,38,62,43,836,41,60,87,1224,65,3,19,20,159,54,15,62,947,1182,245,36,21,1165,565,163,151
2017,GA,Savannah/Chatham County CoC,GA-507,3168106,"Smaller Cities, Counties, and Regional CoCs",641,372,49,27,69,32,506,76,103,135,1693,227,37,89,110,172,32,22,49,1153,1213,293,22,227,1475,409,528,512
2017,GA,DeKalb County CoC,GA-508,4866729,"Smaller Cities, Counties, and Regional CoCs",267,227,59,53,177,82,452,7,20,49,451,766,29,54,82,253,50,39,84,290,986,137,89,35,732,565,1466,1384
2017,GU,Guam CoC,GU-500,1054700,Balance of State and Statewide CoCs,88,83,66,59,66,59,262,11,23,38,512,32,5,1,6,28,3,7,9,384,496,16,0,0,540,261,91,83
2017,HI,Hawaii Balance of State CoC,HI-500,2344347,Balance of State and Statewide CoCs,949,949,61,45,135,80,1697,119,200,296,2766,113,5,19,21,136,10,40,46,1625,1984,1047,219,324,2043,1031,322,295
2017,HI,Honolulu City and County CoC,HI-501,9080553,"Smaller Cities, Counties, and Regional CoCs",3081,3057,139,73,227,151,2946,308,474,626,5938,547,0,18,18,588,144,129,240,2761,3799,838,135,179,3697,2213,1146,1089
2017,IA,"Sioux City/Dakota, Woodbury Counties CoC",IA-500,722532,"Smaller Cities, Counties, and Regional CoCs",240,96,27,15,98,65,169,1,8,8,401,4,0,1,1,92,31,11,40,322,354,0,0,0,346,185,15,7
2017,IA,Iowa Balance of State CoC,IA-501,4745983,Balance of State and Statewide CoCs,1840,1600,35,24,105,36,2693,186,326,493,5728,83,6,18,22,271,67,49,102,3808,4420,195,13,56,5139,2308,297,271
2017,IA,Des Moines/Polk County CoC,IA-502,3315621,"Smaller Cities, Counties, and Regional CoCs",616,578,43,23,65,30,1438,159,238,358,3868,154,10,21,31,202,49,24,68,2481,2696,92,32,28,3444,1005,834,756
2017,ID,Boise/Ada County CoC,ID-500,889887,"Smaller Cities, Counties, and Regional CoCs",691,230,67,24,88,29,429,16,27,34,1146,68,13,32,41,23,3,11,11,775,994,22,10,3,1124,228,189,188
2017,ID,Idaho Balance of State CoC,ID-501,2720641,Balance of State and Statewide CoCs,716,510,50,31,98,45,1613,103,172,246,1959,108,11,9,19,212,64,21,79,1343,1890,114,1,14,2231,1368,510,487
2017,IL,McHenry County CoC,IL-500,927850,"Smaller Cities, Counties, and Regional CoCs",109,109,150,63,206,150,140,7,9,15,375,23,0,3,3,73,23,14,30,202,259,53,2,10,264,132,91,76
2017,IL,"Rockford/Winnebago, Boone Counties CoC",IL-501,1453190,"Smaller Cities, Counties, and Regional CoCs",253,191,39,12,64,16,268,6,15,33,1480,154,7,59,65,40,6,20,24,1096,1219,201,19,86,334,160,409,391
2017,IL,"Waukegan, North Chicago/Lake County CoC",IL-502,2002113,"Smaller Cities, Counties, and Regional CoCs",171,171,31,14,75,21,605,66,138,172,1199,91,12,46,55,79,29,9,37,828,864,62,11,35,1023,419,144,137
