year,cocnumber,doe_total_count,doe_unsheltered,doe_sheltered,doe_hotel_motel,doe_doubled_up
2014,MD-513,1436,28,67,86,1232
2017,MD-513,1193,31,122,48,903
2017,MD-600,2393,10,163,127,2087
2015,MD-600,2631,19,254,164,2194
2016,MD-600,2954,16,322,168,2437
2014,MD-600,2760,11,280,98,2362
2017,MD-601,1485,3,163,194,1125
2016,MD-601,1227,6,187,155,879
2015,MD-601,1050,6,161,227,656
2014,MD-601,1068,4,121,228,715
2015,ME-500,1711,26,257,119,1047
2016,ME-500,1844,37,180,219,1101
2014,ME-500,1716,7,219,147,1073
2017,ME-500,2064,48,278,178,1199
2017,ME-502,413,7,181,52,173
2016,ME-502,317,0,165,37,115
2014,ME-502,244,0,141,0,85
2015,ME-502,202,0,108,22,72
2017,MI-500,14762,119,1880,441,10544
2016,MI-500,16214,143,2648,421,11487
2015,MI-500,16730,132,2342,301,12029
2014,MI-500,16147,111,2432,321,11549
2014,MI-501,2940,66,619,63,2099
2015,MI-501,3375,79,769,138,2211
2016,MI-501,3073,74,804,163,1894
2017,MI-501,1793,17,226,62,1228
2015,MI-502,2377,0,325,156,1735
2014,MI-502,2198,0,345,158,1544
2016,MI-502,2410,0,366,147,1599
2017,MI-502,2608,23,386,146,1840
2017,MI-503,1717,8,191,238,1179
2014,MI-503,1374,4,305,206,725
2016,MI-503,1726,6,271,217,1149
2015,MI-503,1721,0,282,220,1035
2017,MI-504,1910,11,199,166,1413
2016,MI-504,2238,22,340,165,1603
2015,MI-504,2471,26,371,198,1635
2014,MI-504,2283,30,393,135,1604
2014,MI-505,1912,13,325,38,1255
2017,MI-505,1825,15,307,115,1265
2016,MI-505,1959,12,249,74,1343
2015,MI-505,2242,7,312,61,1605
2014,MI-506,2307,6,899,91,1211
2015,MI-506,2974,197,1165,101,1394
2017,MI-506,2412,48,456,297,1529
2016,MI-506,2338,101,499,185,1402
2015,MI-507,1479,25,541,137,750
2016,MI-507,1495,0,424,100,901
2017,MI-507,1340,3,308,142,797
2014,MI-507,1367,0,538,50,660
2016,MI-508,1331,18,274,7,818
2015,MI-508,1086,23,219,60,714
2017,MI-508,1396,27,233,127,938
2014,MI-508,1218,18,241,89,727
2017,MI-509,1095,10,238,29,774
2014,MI-509,922,98,123,30,639
2015,MI-509,1157,6,181,40,868
2016,MI-509,1186,43,216,55,818
2016,MI-510,724,0,208,12,327
2015,MI-510,701,7,231,16,384
2014,MI-510,703,0,317,18,277
2017,MI-510,631,4,206,17,324
2017,MI-511,502,0,65,3,381
2014,MI-511,574,3,68,3,445
2015,MI-511,500,0,64,6,326
2016,MI-511,521,0,74,8,332
2017,MI-512,1134,55,91,44,832
2016,MI-512,1316,57,209,32,966
2014,MI-512,1501,36,179,46,1134
2015,MI-512,1410,50,187,42,1050
2016,MI-513,230,0,57,0,114
2017,MI-513,236,0,16,3,159
2015,MI-513,290,4,92,4,167
2014,MI-513,244,0,69,5,112
2014,MI-514,874,0,323,29,473
2016,MI-514,947,0,273,87,523
2015,MI-514,1008,14,321,50,553
2017,MI-514,804,0,215,41,486
2014,MI-515,752,3,130,36,532
2016,MI-515,875,4,178,59,597
2017,MI-515,763,7,144,52,529
2015,MI-515,823,3,112,68,547
2017,MI-516,960,0,100,43,730
2016,MI-516,1145,6,227,25,832
2014,MI-516,1176,0,228,31,855
2015,MI-516,1122,3,183,35,805
2015,MI-517,1094,0,139,21,869
2017,MI-517,996,6,99,28,669
2016,MI-517,972,3,77,19,629
2014,MI-517,1231,0,136,14,973
2014,MI-518,460,0,87,22,292
2015,MI-518,576,0,115,25,363
2017,MI-518,425,0,65,31,261
2016,MI-518,467,4,109,4,304
2015,MI-519,1144,6,283,51,791
2016,MI-519,1021,16,263,29,637
2014,MI-519,1023,0,253,39,674
2017,MI-519,961,4,233,51,631
2016,MI-523,708,3,153,6,452
2017,MI-523,706,0,202,11,408
2015,MI-523,881,7,175,11,645
2014,MI-523,852,0,81,0,679
2014,MN-500,5587,21,2196,657,2612
2017,MN-500,5996,62,1976,442,3348
2015,MN-500,5619,66,2347,741,2321
2016,MN-500,5030,25,2124,435,2330
2017,MN-501,2845,145,621,165,1842
2014,MN-501,2738,63,868,157,1604
2015,MN-501,2787,98,800,123,1729
2016,MN-501,2867,117,994,105,1594
2017,MN-502,1732,42,357,77,1153
2015,MN-502,1189,34,251,69,740
2014,MN-502,1018,24,179,63,650
2016,MN-502,1839,70,321,138,1224
2017,MN-503,3204,79,448,232,2216
2015,MN-503,2262,73,398,140,1519
2014,MN-503,2102,102,312,187,1361
2016,MN-503,2914,58,520,170,2024
2017,MN-504,248,0,10,31,171
2015,MN-504,198,3,18,18,142
2016,MN-504,240,6,26,9,188
2014,MN-504,190,5,17,22,129
2015,MN-505,1342,10,338,102,819
2014,MN-505,1247,16,321,95,757
2016,MN-505,1556,43,456,63,908
2017,MN-505,1623,30,317,124,1068
2014,MN-506,429,0,208,0,209
2017,MN-506,805,21,213,11,552
2016,MN-506,681,6,267,4,383
2015,MN-506,454,7,161,16,263
2016,MN-508,487,3,137,7,299
2015,MN-508,456,14,128,35,271
2017,MN-508,408,7,85,29,264
2014,MN-508,306,0,94,9,168
2015,MN-509,567,8,357,58,134
2014,MN-509,397,11,285,25,70
2016,MN-509,545,0,279,5,245
2017,MN-509,628,10,262,15,337
2014,MN-511,268,6,11,47,173
2015,MN-511,280,0,59,20,165
2017,MN-511,254,0,66,21,150
2016,MN-511,328,0,36,10,256
2014,MO-500,4740,35,206,288,4139
2016,MO-500,5108,48,292,308,4400
2015,MO-500,4931,37,173,330,4327
2017,MO-500,5484,58,286,320,4735
2015,MO-501,5607,33,687,169,4673
2017,MO-501,6096,33,684,212,5091
2014,MO-501,5516,47,681,181,4547
2016,MO-501,6024,33,718,187,5048
2014,MO-503,1114,4,69,109,845
2017,MO-503,1324,9,109,110,1045
2015,MO-503,1062,9,58,101,850
2016,MO-503,1241,3,89,84,989
2015,MO-600,2101,13,245,192,1610
2014,MO-600,1625,18,158,197,1143
2016,MO-600,2219,14,253,144,1604
2017,MO-600,2600,17,228,208,1949
2017,MO-602,1161,26,51,42,853
2014,MO-602,1075,26,71,21,869
2016,MO-602,1240,35,102,47,989
2015,MO-602,1082,19,74,23,821
2016,MO-603,524,113,98,14,256
2014,MO-603,778,26,125,19,603
2015,MO-603,663,61,87,39,476
2017,MO-603,535,0,139,0,319
2017,MO-604,5773,107,852,332,4299
2014,MO-604,6275,98,835,318,4864
2016,MO-604,6331,122,806,418,4799
2015,MO-604,6013,321,624,343,4579
2016,MO-606,10483,150,298,644,8295
2017,MO-606,11784,232,449,746,9387
2014,MO-606,10023,233,424,530,7640
2015,MO-606,10361,205,370,447,8277
2014,MS-500,1810,0,84,16,1643
2015,MS-500,3510,21,45,46,3391
2016,MS-500,4496,0,93,52,4307
2017,MS-500,4886,7,111,87,4681
2016,MS-501,3795,20,82,87,3194
2017,MS-501,3620,20,90,50,3175
2014,MS-501,4457,126,89,98,3924
2015,MS-501,3782,22,49,56,2550
2017,MS-503,2385,52,303,123,1894
2015,MS-503,2643,42,248,46,2256
2016,MS-503,2131,31,293,50,1611
2014,MS-503,2961,57,211,104,2489
2017,MT-500,3633,293,306,360,2480
2016,MT-500,3020,186,245,324,1930
2015,MT-500,3043,193,240,353,1947
2014,MT-500,2630,171,295,320,1637
2017,NC-500,665,18,194,95,358
2015,NC-500,515,5,168,91,251
2016,NC-500,481,7,135,64,275
2014,NC-500,530,0,190,80,260
2014,NC-501,697,15,107,46,529
2016,NC-501,751,36,49,90,576
2015,NC-501,734,26,91,73,544
2017,NC-501,786,26,60,78,622
2015,NC-502,846,6,38,78,724
2017,NC-502,941,23,91,151,648
2016,NC-502,976,12,70,71,807
2014,NC-502,886,0,0,132,657
2017,NC-503,13119,877,959,1718,8930
2016,NC-503,11771,960,1066,1304,8039
2014,NC-503,11878,456,885,784,9262
2015,NC-503,12027,720,1003,973,8892
2017,NC-504,2960,25,109,208,2615
2014,NC-504,2478,22,133,107,2216
2016,NC-504,2624,8,122,170,2324
2015,NC-504,2804,17,180,139,2468
2015,NC-505,4436,9,496,914,2994
2017,NC-505,4183,35,471,793,2864
2016,NC-505,3942,33,521,771,2584
2014,NC-505,4322,43,395,773,3107
2015,NC-506,1146,7,197,89,834
2014,NC-506,956,3,263,47,632
2016,NC-506,1353,24,204,100,1025
2017,NC-506,1195,15,134,141,888
2016,NC-507,2771,14,305,568,1871
2014,NC-507,2216,8,298,427,1470
2015,NC-507,2580,13,373,429,1759
2017,NC-507,3441,15,333,728,2353
2016,NC-509,1067,4,90,197,767
2015,NC-509,973,5,81,130,734
2017,NC-509,1154,11,111,178,854
2014,NC-509,751,27,75,109,476
2015,NC-511,793,10,123,151,509
2014,NC-511,678,0,0,107,494
2016,NC-511,566,14,53,147,352
2017,NC-511,786,41,83,262,400
2014,NC-513,138,0,23,26,89
2015,NC-513,127,0,14,20,91
2017,NC-513,195,3,13,10,169
2016,NC-513,143,5,4,12,115
2015,NC-516,495,34,43,13,366
2014,NC-516,557,70,36,3,418
2016,NC-516,419,6,15,17,326
2017,NC-516,532,21,69,12,388
2016,ND-500,2503,337,279,86,1485
2017,ND-500,2416,181,277,148,1615
2014,ND-500,2373,768,200,194,952
2015,ND-500,2711,868,183,165,1332
2014,NE-500,1891,168,259,118,1265
2016,NE-500,1808,160,196,100,1271
2017,NE-500,1932,100,196,112,1409
2015,NE-500,1841,121,254,84,1317
2017,NE-501,1656,28,594,107,908
2014,NE-501,1946,33,720,75,1096
2015,NE-501,1463,24,575,126,715
2016,NE-501,1548,37,565,148,759
2016,NE-502,441,15,139,80,207
2014,NE-502,355,13,140,44,158
2015,NE-502,444,38,134,65,207
2017,NE-502,329,7,168,52,102
2014,NH-500,2118,25,130,163,1366
2015,NH-500,2144,59,116,127,1403
2017,NH-500,2502,42,284,163,1612
2016,NH-500,2077,51,105,169,1401
2015,NH-501,676,0,103,0,553
2016,NH-501,710,5,142,27,531
2017,NH-501,796,11,121,39,625
2014,NH-501,679,70,99,45,465
2016,NH-502,514,19,70,86,312
2017,NH-502,576,54,88,90,306
2015,NH-502,481,11,51,100,289
2014,NH-502,453,23,57,58,281
2014,NJ-500,501,5,52,159,261
2015,NJ-500,430,0,24,103,243
2017,NJ-500,628,0,43,154,400
2016,NJ-500,478,0,9,67,357
2016,NJ-501,454,0,41,9,278
2014,NJ-501,341,0,23,13,249
2015,NJ-501,482,0,61,82,298
2017,NJ-501,491,0,68,8,253
2017,NJ-502,908,0,129,66,661
2015,NJ-502,768,0,139,68,463
2016,NJ-502,870,0,94,38,621
2014,NJ-502,717,0,113,68,436
2016,NJ-503,3402,10,37,80,2740
2014,NJ-503,3185,8,114,152,2571
2015,NJ-503,3438,15,165,211,2719
2017,NJ-503,2724,5,91,150,2069
2014,NJ-504,1105,0,518,7,548
2015,NJ-504,740,4,318,3,390
2016,NJ-504,863,0,214,0,641
2017,NJ-504,1017,12,456,28,505
2015,NJ-506,195,0,52,19,69
2014,NJ-506,176,0,42,26,100
2017,NJ-506,506,0,175,7,219
2016,NJ-506,270,0,38,41,141
2014,NJ-507,755,0,109,81,491
2015,NJ-507,943,0,126,74,651
2016,NJ-507,966,0,65,73,789
2017,NJ-507,1187,0,79,138,908
2016,NJ-508,492,0,26,58,353
2017,NJ-508,534,0,62,109,296
2015,NJ-508,556,0,74,108,292
2014,NJ-508,765,0,122,111,422
2016,NJ-509,110,0,21,3,46
2015,NJ-509,88,0,19,9,25
2017,NJ-509,229,0,41,15,113
2014,NJ-509,82,0,25,10,26
2014,NJ-510,1102,0,205,139,721
2017,NJ-510,655,7,82,109,405
2015,NJ-510,629,0,80,150,312
2016,NJ-510,642,0,63,73,405
2015,NJ-511,337,0,71,0,235
2014,NJ-511,219,0,58,6,138
2017,NJ-511,660,0,115,9,476
2016,NJ-511,452,0,59,15,331
2015,NJ-512,26,0,0,0,26
2014,NJ-512,15,0,0,0,15
2016,NJ-512,28,0,0,0,28
2017,NJ-512,15,0,0,0,0
2016,NJ-513,90,0,12,22,38
2015,NJ-513,221,0,27,41,146
2014,NJ-513,84,0,16,35,23
2017,NJ-513,117,0,16,23,63
2015,NJ-514,177,0,81,3,67
2014,NJ-514,244,10,109,22,81
2016,NJ-514,232,0,53,8,150
2017,NJ-514,156,0,59,0,46
2017,NJ-515,504,0,97,22,326
2016,NJ-515,375,0,63,5,251
2015,NJ-515,362,0,103,14,203
2014,NJ-515,288,0,111,42,130
2014,NJ-516,219,0,25,10,165
2016,NJ-516,241,0,17,3,197
2015,NJ-516,252,0,48,6,168
2017,NJ-516,253,0,10,9,127
2015,NM-500,3547,640,267,191,2403
2016,NM-500,2980,689,312,181,1752
2014,NM-500,5505,109,264,253,4835
2017,NM-500,4547,941,648,257,2609
2015,NM-501,6724,132,544,178,5547
2017,NM-501,7148,127,482,229,5651
2014,NM-501,6440,126,559,237,5192
2016,NM-501,7259,125,466,212,5767
2015,NV-500,11240,217,716,2110,8197
2014,NV-500,9281,104,472,1844,6861
2016,NV-500,14598,181,1285,2226,10906
2017,NV-500,10879,172,1352,1698,7657
2017,NV-501,3251,565,595,470,1621
2014,NV-501,3278,196,635,292,2155
2015,NV-501,3449,212,702,335,2200
2016,NV-501,3394,246,716,391,2041
2016,NV-502,2728,54,315,146,2139
2014,NV-502,2323,38,115,112,1974
2015,NV-502,2489,27,135,104,2130
2017,NV-502,2697,85,322,182,2069
2014,NY-500,3084,41,508,87,2369
2017,NY-500,3553,85,610,70,2716
2015,NY-500,3300,296,546,59,2315
2016,NY-500,3572,150,654,50,2610
2017,NY-503,1011,8,221,246,484
2016,NY-503,874,5,158,214,443
2015,NY-503,749,0,102,29,574
2014,NY-503,733,0,229,44,417
2017,NY-504,147,0,23,0,99
2015,NY-504,188,0,17,10,129
2016,NY-504,175,0,21,0,136
2014,NY-504,168,0,15,0,101
2017,NY-505,4225,37,612,160,3259
2016,NY-505,4276,19,702,184,3289
2014,NY-505,3051,0,454,70,2301
2015,NY-505,3727,5,601,243,2698
2016,NY-507,189,0,16,7,160
2014,NY-507,230,0,25,46,131
2017,NY-507,351,0,53,76,190
2015,NY-507,241,0,30,13,177
2016,NY-508,3888,0,593,115,2861
2014,NY-508,2590,0,386,40,1846
2015,NY-508,3434,6,447,61,2571
2017,NY-508,3086,7,457,97,2278
2014,NY-510,154,0,33,3,94
2015,NY-510,121,0,9,7,71
2017,NY-510,211,0,35,3,150
2016,NY-510,143,0,17,8,113
2015,NY-511,949,9,217,49,580
2016,NY-511,1094,5,200,70,677
2014,NY-511,1044,5,169,62,665
2017,NY-511,1071,4,264,59,580
2016,NY-512,695,0,173,62,440
2014,NY-512,519,0,96,36,378
2017,NY-512,702,0,132,66,463
2015,NY-512,619,0,163,31,393
2014,NY-513,841,3,58,56,530
2016,NY-513,853,0,51,81,592
2015,NY-513,805,0,78,57,559
2017,NY-513,865,0,39,81,595
2015,NY-514,314,0,59,9,217
2016,NY-514,238,0,36,0,137
2017,NY-514,260,0,44,4,174
2014,NY-514,314,0,37,0,211
2016,NY-516,223,0,6,37,128
2015,NY-516,172,0,17,52,81
2014,NY-516,135,0,4,41,49
2017,NY-516,238,0,22,27,146
2017,NY-518,491,3,41,5,381
2014,NY-518,299,0,21,7,226
2016,NY-518,332,3,45,0,258
2015,NY-518,362,0,31,8,250
2016,NY-519,329,36,14,51,217
2015,NY-519,356,37,30,46,227
2017,NY-519,341,37,19,56,192
2014,NY-519,338,30,25,29,219
2015,NY-520,99,0,7,4,75
2016,NY-520,127,0,5,3,50
2017,NY-520,184,0,4,0,166
2014,NY-520,135,0,16,0,109
2016,NY-522,914,0,44,0,794
2017,NY-522,975,0,23,3,611
2014,NY-522,953,6,30,0,662
2015,NY-522,929,8,20,10,663
2015,NY-523,989,4,39,72,772
2014,NY-523,943,4,77,87,689
2016,NY-523,1136,14,45,133,779
2017,NY-523,1047,9,46,84,779
2014,NY-600,113456,7003,45536,311,59113
2016,NY-600,135387,6876,54193,229,72827
2015,NY-600,106406,4523,44818,174,54881
2017,NY-600,138990,6548,52800,249,77892
2014,NY-601,644,0,268,69,287
2016,NY-601,833,0,304,90,425
2017,NY-601,879,0,286,98,473
2015,NY-601,705,0,268,71,342
2015,NY-602,1692,7,319,180,1114
2014,NY-602,1686,9,308,152,1176
2017,NY-602,1821,9,236,198,1323
2016,NY-602,1842,12,330,176,1232
2017,NY-603,10671,18,2289,541,7443
2014,NY-603,8051,4,1998,308,5282
2016,NY-603,9773,17,2422,493,6498
2015,NY-603,8667,12,2049,361,5809
2015,NY-604,2832,3,806,64,1838
2014,NY-604,2848,0,350,50,1803
2016,NY-604,2860,7,805,54,1919
2017,NY-604,2748,0,305,18,1827
2015,NY-606,752,0,40,10,631
2014,NY-606,753,0,83,14,625
2017,NY-606,738,0,104,30,578
2016,NY-606,763,0,49,17,644
2015,NY-607,358,0,77,58,215
2017,NY-607,326,0,43,47,214
2014,NY-607,380,3,43,66,251
2016,NY-607,372,0,48,78,239
2016,NY-608,556,0,123,125,288
2017,NY-608,661,5,141,161,314
2014,NY-608,634,0,184,114,317
2015,NY-608,612,0,153,134,319
2016,OH-500,3335,13,912,141,2185
2015,OH-500,2660,10,695,147,1718
2017,OH-500,2108,13,484,130,1297
2014,OH-500,4398,34,1436,184,2630
2015,OH-501,3292,0,240,53,2923
2014,OH-501,2655,8,175,30,2380
2016,OH-501,3702,3,244,59,3279
2017,OH-501,4094,6,260,32,3636
2016,OH-502,3699,26,463,38,2928
2014,OH-502,4193,0,366,31,3522
2015,OH-502,3376,18,358,30,2789
2017,OH-502,3790,32,399,52,3080
2017,OH-503,4687,28,1109,406,3001
2015,OH-503,3579,14,1077,267,2090
2014,OH-503,3568,19,1211,296,1953
2016,OH-503,3984,45,1030,332,2489
2017,OH-504,338,0,101,12,147
2014,OH-504,193,0,19,0,164
2016,OH-504,119,0,21,7,71
2015,OH-504,196,7,31,3,133
2014,OH-505,1198,6,263,45,750
2016,OH-505,1142,4,271,90,495
2017,OH-505,1286,3,221,34,903
2015,OH-505,1281,6,341,47,620
2016,OH-506,1575,125,377,56,979
2015,OH-506,1558,85,367,44,983
2017,OH-506,1621,168,312,41,1030
2014,OH-506,1663,60,524,41,871
2014,OH-507,9558,99,957,452,6728
2015,OH-507,10780,92,941,552,7965
2016,OH-507,11370,92,1058,519,8029
2017,OH-507,11968,102,1021,513,8517
2017,OH-508,823,3,264,13,488
2016,OH-508,1079,5,405,8,614
2015,OH-508,1002,0,378,8,479
2014,OH-508,1018,5,398,12,560
2016,OK-500,1210,183,120,14,875
2015,OK-500,1229,213,79,17,815
2014,OK-500,1286,131,293,74,738
2017,OK-500,1309,250,141,26,879
2017,OK-501,3155,26,572,104,2430
2014,OK-501,3603,32,976,172,2307
2015,OK-501,4203,49,884,223,2979
2016,OK-501,3994,29,573,198,3128
2017,OK-502,9170,141,243,95,8675
2015,OK-502,7672,175,407,207,6861
2014,OK-502,6649,29,502,202,5769
2016,OK-502,6900,124,297,107,6358
2016,OK-503,3683,79,113,77,3095
2014,OK-503,3825,156,285,139,3014
2015,OK-503,3624,158,274,205,2817
2017,OK-503,3646,56,92,66,3325
2016,OK-504,252,14,82,17,130
2014,OK-504,335,8,80,40,144
2017,OK-504,251,5,18,19,202
2015,OK-504,305,12,74,42,175
2017,OK-505,2728,112,58,12,1903
2015,OK-505,2859,200,156,19,2225
2016,OK-505,2745,96,134,32,2184
2014,OK-505,2985,655,153,52,1971
2014,OK-506,2429,170,336,54,1805
2016,OK-506,3013,124,297,60,2079
2017,OK-506,3136,98,203,61,2619
2015,OK-506,2709,157,272,72,1959
2017,OK-507,3887,415,227,25,2717
2014,OK-507,3840,354,447,40,2568
2015,OK-507,4335,408,375,35,3194
2016,OK-507,4580,474,671,36,3067
2015,OR-500,2289,293,222,103,1636
2014,OR-500,2386,274,303,105,1683
2017,OR-500,2645,284,184,123,2020
2016,OR-500,2514,328,200,85,1853
2017,OR-501,4931,196,527,225,3947
2015,OR-501,4525,165,557,202,3585
2014,OR-501,4085,107,469,204,3305
2016,OR-501,4567,212,563,266,3495
2017,OR-502,2549,261,139,123,2026
2014,OR-502,1875,207,164,95,1372
2015,OR-502,2285,200,150,106,1825
2016,OR-502,2565,266,224,112,1959
2014,OR-503,1580,186,215,107,1021
2017,OR-503,1226,195,77,104,821
2015,OR-503,1714,232,166,103,1194
2016,OR-503,1261,208,104,84,859
2014,OR-505,7786,736,698,316,5679
2017,OR-505,9542,1196,924,358,6686
2016,OR-505,8823,1028,680,377,6255
2015,OR-505,8153,1033,668,355,5634
2016,OR-506,2428,145,207,140,1927
2015,OR-506,2325,125,131,144,1879
2017,OR-506,2463,142,194,113,1996
2014,OR-506,2029,105,144,123,1657
2016,OR-507,1613,229,73,113,1160
2015,OR-507,1331,189,64,72,970
2014,OR-507,1315,205,76,68,946
2017,OR-507,1790,288,55,70,1356
2017,PA-500,3822,14,1727,21,1861
2014,PA-500,4428,0,2345,45,1866
2016,PA-500,3955,0,2167,6,1584
2015,PA-500,4047,0,1982,29,1920
2014,PA-501,712,0,112,29,537
2017,PA-501,899,3,115,49,702
2016,PA-501,759,0,89,8,613
2015,PA-501,787,5,117,32,532
2014,PA-502,573,0,108,36,372
2016,PA-502,802,7,115,11,549
2017,PA-502,735,8,187,37,417
2015,PA-502,649,0,125,28,454
2015,PA-503,324,0,80,22,170
2016,PA-503,339,0,65,25,199
2014,PA-503,368,0,115,28,188
2017,PA-503,392,0,96,50,233
2015,PA-504,711,0,115,53,485
2016,PA-504,730,7,136,24,459
2014,PA-504,771,10,126,67,477
2017,PA-504,768,0,117,45,485
2014,PA-505,909,4,130,59,540
2015,PA-505,759,4,120,48,547
2017,PA-505,1073,20,137,73,659
2016,PA-505,911,7,149,36,618
2016,PA-506,1147,6,264,48,743
2017,PA-506,1192,10,232,58,822
2015,PA-506,1189,0,307,11,754
2014,PA-506,909,6,212,33,539
2015,PA-508,125,0,21,7,97
2014,PA-508,162,0,32,14,91
2017,PA-508,133,6,20,4,69
2016,PA-508,143,4,25,0,84
2017,PA-509,5445,48,915,558,3304
2016,PA-509,4660,102,717,422,2816
2014,PA-509,4224,23,776,367,2383
2015,PA-509,4075,48,704,370,2553
2014,PA-510,1173,8,167,31,828
2015,PA-510,1552,41,171,45,1155
2017,PA-510,1716,44,205,98,1309
2016,PA-510,1483,19,182,85,1066
2015,PA-511,775,7,111,71,532
2017,PA-511,784,0,193,62,427
2016,PA-511,787,3,147,87,440
2014,PA-511,746,3,133,54,487
2017,PA-512,1198,0,158,98,778
2016,PA-512,811,12,145,43,532
2014,PA-512,1189,20,230,71,817
2015,PA-512,764,3,70,35,538
2016,PA-600,2809,11,686,108,1731
2015,PA-600,2572,0,544,59,1672
2014,PA-600,2433,0,533,58,1593
2017,PA-600,3115,6,655,62,2133
2015,PA-601,2871,18,293,119,1878
2014,PA-601,3024,19,399,81,1941
2017,PA-601,2834,27,272,73,1869
2016,PA-601,2807,10,270,55,1876
2014,PA-603,277,0,42,0,176
2015,PA-603,318,0,42,0,204
2017,PA-603,393,4,30,39,296
2016,PA-603,327,0,57,15,187
2016,PA-605,697,0,75,49,514
2017,PA-605,697,8,155,16,324
2014,PA-605,724,3,138,22,382
2015,PA-605,635,0,105,25,365
2017,PR-502,4736,281,1464,0,2991
2015,PR-502,3628,124,1582,0,1922
2016,PR-502,4001,0,1372,0,2386
2014,PR-502,3224,0,1316,0,1826
2014,RI-500,1008,0,215,48,541
2015,RI-500,1015,10,184,44,614
2017,RI-500,1238,9,293,39,792
2016,RI-500,1048,6,227,54,656
2015,SC-500,1973,152,245,409,1149
2017,SC-500,1664,70,106,382,1022
2014,SC-500,1421,68,198,197,906
2016,SC-500,1772,140,229,384,1010
2015,SC-501,6043,569,797,503,4088
2016,SC-501,5897,618,690,522,3971
2017,SC-501,4690,764,407,435,2952
2014,SC-501,5673,492,639,438,3859
2015,SC-502,3545,159,398,428,2448
2014,SC-502,3440,236,381,479,2202
2017,SC-502,3368,222,350,557,2097
2016,SC-502,4133,193,374,633,2734
2015,SC-503,2082,14,172,435,1223
2016,SC-503,2553,15,209,506,1785
2014,SC-503,2269,12,146,303,1663
2017,SC-503,2290,21,228,321,1565
2014,SD-500,1899,88,213,396,1050
2016,SD-500,3242,52,446,328,1772
2017,SD-500,3003,51,521,344,1833
2015,SD-500,2194,57,465,413,1162
2015,TN-500,712,3,78,79,448
2016,TN-500,1658,0,305,18,1161
2017,TN-500,1212,25,113,70,931
2014,TN-500,1111,10,4,110,847
2015,TN-501,723,7,74,118,514
2017,TN-501,930,15,124,178,611
2014,TN-501,1765,25,273,202,1265
2016,TN-501,757,18,150,162,403
2014,TN-502,860,9,206,151,494
2015,TN-502,414,7,86,86,235
2016,TN-502,568,0,0,153,253
2017,TN-502,523,5,123,111,278
2017,TN-503,1995,39,78,237,1587
2014,TN-503,1885,30,98,162,1489
2016,TN-503,1678,21,103,120,1177
2015,TN-503,1563,32,63,107,1317
2016,TN-504,3078,23,287,436,2323
2017,TN-504,3573,30,328,404,2794
2015,TN-504,3188,15,287,443,2438
2014,TN-504,3894,38,402,599,2855
2014,TN-506,2371,101,130,151,1912
2015,TN-506,1776,33,95,101,1473
2016,TN-506,1841,30,122,71,1358
2017,TN-506,2378,77,141,128,1907
2016,TN-507,1014,17,40,58,603
2014,TN-507,903,7,41,6,659
2017,TN-507,1259,21,59,83,877
2015,TN-507,681,8,48,42,552
2017,TN-509,1863,53,83,116,1510
2014,TN-509,1849,46,145,142,1478
2015,TN-509,1624,42,82,143,1280
2016,TN-509,1754,50,77,109,1413
2016,TN-510,1510,31,109,265,1069
2017,TN-510,1551,26,162,275,1082
2014,TN-510,503,6,66,101,330
2015,TN-510,1304,19,93,236,918
2015,TN-512,1262,56,44,164,951
2017,TN-512,1910,45,162,310,1315
2014,TN-512,2114,66,118,265,1605
2016,TN-512,1792,20,44,229,1258
2015,TX-500,9217,714,1071,578,6741
2017,TX-500,9340,1074,1126,824,6049
2014,TX-500,11170,280,3738,405,6663
2016,TX-500,9203,1238,1144,692,5976
2014,TX-503,3957,56,496,298,3084
2017,TX-503,4825,60,1583,296,2831
2015,TX-503,4640,57,1273,337,2933
2016,TX-503,5230,48,1663,373,3122
2017,TX-600,12336,781,1588,1694,7962
2016,TX-600,13881,534,1604,1748,9803
2015,TX-600,11911,287,1670,1327,8069
2014,TX-600,11600,267,1855,992,7998
2016,TX-601,9102,177,911,1110,6792
2017,TX-601,8140,223,881,1135,5783
2015,TX-601,7946,171,909,751,5986
2014,TX-601,7273,76,2152,619,4310
2015,TX-603,3205,210,646,74,2266
2014,TX-603,3473,202,695,77,2410
2016,TX-603,3226,154,705,50,2285
2017,TX-603,3593,160,673,106,2605
2015,TX-604,1978,30,94,105,1678
2017,TX-604,2254,45,142,103,1819
2014,TX-604,2028,26,118,80,1580
2016,TX-604,2619,32,101,112,2229
2017,TX-607,50010,1979,3312,1979,38790
2016,TX-607,52334,1817,3507,2472,41058
2014,TX-607,47038,1631,3171,1884,37139
2015,TX-607,49298,1459,3610,2116,38859
2017,TX-611,2261,52,184,53,1947
2014,TX-611,1769,54,174,80,1461
2015,TX-611,2256,80,195,96,1860
2016,TX-611,2202,46,195,49,1912
2016,TX-624,1423,12,173,50,1032
2015,TX-624,1307,11,127,16,962
2017,TX-624,1349,0,117,23,937
2014,TX-624,1390,9,143,45,1046
2017,TX-700,20511,531,1876,1439,16424
2015,TX-700,19762,351,1946,1313,16067
2014,TX-700,20565,432,2296,1043,16714
2016,TX-700,19939,400,1965,1554,15719
2015,TX-701,1379,22,106,11,1198
2016,TX-701,1298,17,63,56,1125
2014,TX-701,1357,12,117,23,1028
2017,TX-701,1351,18,71,47,1118
