year,coc_number,coc_number_and_name,pprn,estimated_ard,tier_1,bonus,dv_bonus,coc_planning
2019,KS-505,"KS-505-OVERLAND PARK,SHAWNEE,JOHNSON COUNTY",627390,663035,629856,33152,62739,19891
2019,KS-507,KS-507-KANSAS BALANCE OF STATE,4063745,2527967,2386413,383945,406375,121912
2019,KY-500,KY-500-KENTUCKY BALANCE OF STATE,8451147,10054171,9568092,502709,845115,301625
2019,KY-501,"KY-501-LOUISVILLE,JEFFERSON COUNTY",8212244,9632327,9065774,481616,821224,288970
2019,KY-502,"KY-502-LEXINGTON,FAYETTE COUNTY",1688222,1765174,1690236,88259,168822,52955
2019,LA-500,"LA-500-LAFAYETTE,ACADIANA",2290651,2764151,2611933,138208,229065,82925
2019,LA-502,"LA-502-SHREVEPORT,BOSSIER,NORTHWEST",1975312,3892590,3659035,194630,197531,116778
2019,LA-503,"LA-503-NEW ORLEANS,JEFFERSON PARISH",11125297,20668410,19531357,1033421,1112530,620052
2019,LA-505,"LA-505-MONROE,NORTHEAST LOUISIANA",942048,1698012,1627693,84901,94205,50940
2019,LA-506,"LA-506-SLIDELL,SOUTHEAST LOUISIANA",1143298,2428518,2317292,121426,114330,72856
2019,LA-507,"LA-507-ALEXANDRIA,CENTRAL LOUISIANA",709080,708464,665957,35454,70908,21272
2019,LA-509,LA-509-LOUISIANA BALANCE OF STATE,4639673,17880159,16853784,894008,463967,536405
2019,MA-500,MA-500-BOSTON,12626955,28251724,26665386,1412586,1262696,847552
2019,MA-502,MA-502-LYNN,1828279,1852283,1741146,92614,182828,55568
2019,MA-503,MA-503-CAPE COD ISLANDS,597997,1804464,1707346,90223,59800,54134
2019,MA-504,"MA-504-SPRINGFIELD,HOLYOKE,CHICOPEE,WESTFIELD,HAMPDEN COUNTY",3979887,4019347,3792481,200967,397989,120580
2019,MA-505,MA-505-NEW BEDFORD,1927885,1758917,1653382,96394,192789,57837
2019,MA-506,MA-506-WORCESTER CITY & COUNTY,4953901,6551627,6181992,327581,495390,196549
2019,MA-507,"MA-507-PITTSFIELD,NORTHAMPTON,BERKSHIRE,FRANKLIN,HAMPSHIRE COUNTIES",1551290,1756048,1698012,87802,155129,52681
2019,MA-508,MA-508-LOWELL,1512048,768699,722578,185837,151205,45361
2019,MA-509,MA-509-CAMBRIDGE,1957769,4571999,4312563,228600,195777,137160
2019,MA-510,"MA-510-GLOUCESTER,HAVERHILL,SALEM,ESSEX COUNTY",2147015,1753272,1671011,107351,214702,64410
2019,MA-511,"MA-511-QUINCY,WEYMOUTH",2714344,6504341,6131501,325217,271434,195130
2019,MA-515,MA-515-FALL RIVER,2115104,1768888,1662754,105755,211510,63453
2019,MA-516,MA-516-MASSACHUSETTS BALANCE OF STATE (B0S),8122703,12242454,11523557,612123,812270,367274
2019,MA-517,MA-517-SOMERVILLE,2110060,1896636,1782838,105503,211006,63302
2019,MA-519,"MA-519-ATTLEBORO,TAUNTON,BRISTOL COUNTY",901970,794777,747090,45099,90197,27059
2019,MD-500,"MD-500-CUMBERLAND,ALLEGANY COUNTY",350900,668444,628338,33422,50000,20053
2019,MD-501,MD-501-BALTIMORE CITY,15694811,22766097,21493390,1138305,1569481,682983
2019,MD-502,MD-502-HARFORD COUNTY,283731,900880,850133,45044,50000,27026
2019,MD-503,"MD-503-ANNAPOLIS,ANNE ARUNDEL COUNTY",1509428,2402691,2258530,120135,150943,72081
2019,MD-504,MD-504-HOWARD COUNTY,337311,786514,739323,39326,50000,23595
2019,MD-505,MD-505-BALTIMORE COUNTY,2975492,2917756,2747057,148775,297549,89265
2019,MD-506,MD-506-CARROLL COUNTY,213309,402670,378509,20134,50000,12080
2019,MD-507,MD-507-CECIL COUNTY,162658,255444,240117,12772,50000,7663
2019,MD-508,"MD-508-CHARLES,CALVERT,ST.MARY'S COUNTIES",477006,2841450,2670964,142073,50000,85244
2019,MD-509,MD-509-FREDERICK CITY & COUNTY,318795,620588,586421,31029,50000,18618
2019,MD-510,MD-510-GARRETT COUNTY,66766,236927,222712,11846,50000,7108
2019,MD-511,MD-511-MID-SHORE REGIONAL,370663,724431,680966,36222,50000,21733
2019,MD-512,"MD-512-HAGERSTOWN,WASHINGTON COUNTY",375614,503511,473301,25176,50000,15105
2019,MD-513,"MD-513-WICOMICO,SOMERSET,WORCESTER COUNTY",362022,1279346,1202587,63967,50000,38380
2019,MD-600,MD-600-PRINCE GEORGE'S COUNTY,3705820,5660147,5359201,283007,370582,169804
2019,MD-601,MD-601-MONTGOMERY COUNTY,3503565,8982609,8475947,449130,350357,269478
2019,ME-500,ME-500-MAINE BALANCE OF STATE,5663665,12373012,11636633,618651,566367,371190
2019,MI-500,MI-500-MICHIGAN BALANCE OF STATE,6559906,9015642,8474706,450782,655991,270469
2019,MI-501,MI-501-DETROIT,25195586,26636844,25093273,1331842,2519559,799105
2019,MI-502,"MI-502-DEARBORN,DEARBORN HEIGHTS,WESTLAND,WAYNE COUNTY",6723024,4045207,3815695,669454,672302,201691
2019,MI-503,"MI-503-ST.CLAIR SHORES,WARREN,MACOMB COUNTY",2401508,1203265,1131069,299561,240151,72045
2019,MI-504,"MI-504-PONTIAC,ROYAL OAK,OAKLAND COUNTY",4634081,6080995,5721680,304050,463408,182430
2019,MI-505,"MI-505-FLINT,GENESEE COUNTY",4178662,1852934,1746220,581432,417866,125360
2019,MI-506,"MI-506-GRAND RAPIDS,WYOMING,KENT COUNTY",4184043,6131861,5789536,306593,418404,183956
2019,MI-507,"MI-507-PORTAGE,KALAMAZOO CITY & COUNTY",1503216,1623334,1525934,81167,150322,48700
2019,MI-508,"MI-508-LANSING,EAST LANSING,INGHAM COUNTY",1827890,2478509,2338563,123925,182789,74355
2019,MI-509,"MI-509-ANN ARBOR,WASHTENAW COUNTY",1545792,5806240,5457866,290312,154579,174187
2019,MI-510,MI-510-SAGINAW CITY & COUNTY,1832618,2039269,1927912,101963,183262,61178
2019,MI-511,MI-511-LENAWEE COUNTY,250110,103083,96898,36757,50000,7503
2019,MI-512,"MI-512-GRAND TRAVERSE,ANTRIM,LEELANAU COUNTIES",347290,1328607,1291991,66430,50000,39858
2019,MI-513,"MI-513-MARQUETTE,ALGER COUNTIES",212897,125785,122623,21778,50000,6387
2019,MI-514,"MI-514-BATTLE CREEK,CALHOUN COUNTY",530382,288659,275246,60431,53038,15911
2019,MI-515,MI-515-MONROE CITY & COUNTY,349335,125684,118143,55913,50000,10480
2019,MI-516,"MI-516-NORTON SHORES,MUSKEGON CITY & COUNTY",607251,577871,543198,30363,60725,18218
2019,MI-517,MI-517-JACKSON CITY & COUNTY,555336,824043,774601,41202,55534,24721
2019,MI-518,MI-518-LIVINGSTON COUNTY,237005,232273,218336,11850,50000,7110
2019,MI-519,"MI-519-HOLLAND,OTTAWA COUNTY",542194,1129896,1065451,56495,54219,33897
2019,MI-523,MI-523-EATON COUNTY,191025,967000,927257,48350,50000,29010
2019,MN-500,"MN-500-MINNEAPOLIS,HENNEPIN COUNTY",10620823,12709265,11999262,635463,1062082,381278
2019,MN-501,"MN-501-SAINT PAUL,RAMSEY COUNTY",5331074,6793228,6385634,339661,533107,203797
2019,MN-502,"MN-502-ROCHESTER,SOUTHEAST MINNESOTA",1637872,2166612,2049823,108331,163787,64998
2019,MN-503,"MN-503-DAKOTA,ANOKA,WASHINGTON,SCOTT,CARVER COUNTIES",2443074,3753553,3556725,187678,244307,112607
2019,MN-504,MN-504-NORTHEAST MINNESOTA,320058,447383,421360,22369,50000,13421
2019,MN-505,"MN-505-ST.CLOUD,CENTRAL MINNESOTA",1437904,1549831,1465640,77492,143790,46495
2019,MN-506,MN-506-NORTHWEST MINNESOTA,455631,715845,676107,35792,50000,21475
2019,MN-508,"MN-508-MOORHEAD,WEST CENTRAL MINNESOTA",520013,839395,789031,41970,52001,25182
2019,MN-509,"MN-509-DULUTH,SAINT LOUIS COUNTY",3146683,3181358,2990475,159068,314668,95441
2019,MN-511,MN-511-SOUTHWEST MINNESOTA,741286,1077534,1017553,53877,74129,32326
2019,MO-500,MO-500-ST.LOUIS COUNTY,4173034,1929953,1814155,560770,417303,125191
2019,MO-501,MO-501-ST.LOUIS CITY,13043904,12104511,11478594,652195,1304390,391317
2019,MO-503,"MO-503-ST.CHARLES,LINCOLN,WARREN COUNTIES",531360,373882,354947,39370,53136,15941
2019,MO-600,"MO-600-SPRINGFIELD,GREENE,CHRISTIAN,WEBSTER COUNTIES",756118,1045226,987482,52261,75612,31357
2019,MO-602,"MO-602-JOPLIN,JASPER,NEWTON COUNTIES",382756,609142,572594,30457,50000,18274
2019,MO-603,"MO-603-ST.JOSEPH,ANDREW,BUCHANAN,DEKALB COUNTIES",1229578,1393131,1316823,69657,122958,41794
2019,MO-604,"MO-604-KANSAS CITY,INDEPENDENCE, LEE'S SUMMIT,JACKSON COUNTY",7918200,13142804,12408054,657140,791820,394284
2019,MO-606,MO-606-MISSOURI BALANCE OF STATE,5632860,4779809,4512659,281643,563286,168986
2019,MP-500,MP-500-NORTHERN MARIANA ISLANDS,466107,0,0,116527,50000,13983
2019,MS-500,"MS-500-JACKSON,RANKIN,MADISON COUNTIES",2144904,1368126,1311424,194195,214490,64347
2019,MS-501,MS-501-MISSISSIPPI BALANCE OF STATE,5402850,2750174,2592935,663169,540285,162086
2019,MS-503,"MS-503-GULF PORT,GULF COAST REGIONAL",1041683,799342,754323,60585,104168,31250
2019,MT-500,MT-500-MONTANA STATEWIDE,2213493,2608739,2471278,130437,221349,78262
2019,NC-500,"NC-500-WINSTON SALEM,FORSYTH COUNTY",1808728,2168503,2100736,108425,180873,65055
2019,NC-501,"NC-501-ASHEVILLE,BUNCOMBE COUNTY",599854,1238651,1167694,61933,59985,37160
2019,NC-502,NC-502-DURHAM CITY & COUNTY,1520756,1415325,1339648,76038,152076,45623
2019,NC-503,NC-503-NORTH CAROLINA BALANCE OF STATE,11648394,8583575,8085723,766205,1164839,349452
2019,NC-504,"NC-504-GREENSBORO,HIGH POINT",2039879,2127921,2007611,106396,203988,63838
2019,NC-505,"NC-505-CHARLOTTE,MECKLENBURG COUNTY",4597945,3953290,3716092,229897,459795,137938
2019,NC-506,"NC-506-WILMINGTON,BRUNSWICK,NEW HANOVER,PENDER COUNTIES",774924,672648,639167,38746,77492,23248
2019,NC-507,"NC-507-RALEIGH,WAKE COUNTY",3920536,3334815,3134726,196027,392054,117616
2019,NC-509,"NC-509-GASTONIA,CLEVELAND,GASTON,LINCOLN COUNTIES",882363,777535,730883,44118,88236,26471
2019,NC-511,"NC-511-FAYETTEVILLE,CUMBERLAND COUNTY",602649,703004,660824,35150,60265,21090
2019,NC-513,"NC-513-CHAPEL HILL,ORANGE COUNTY",266545,680285,642476,34014,50000,20409
2019,NC-516,NC-516-NORTHWEST NORTH CAROLINA,567859,338633,323637,57307,56786,17036
2019,ND-500,ND-500-NORTH DAKOTA STATEWIDE,1469707,1823945,1723237,91197,146971,54718
2019,NE-500,NE-500-NEBRASKA BALANCE OF STATE,2563508,1965426,1847503,149521,256351,76905
2019,NE-501,"NE-501-OMAHA,COUNCIL BLUFFS",4251333,4556397,4296006,227820,425133,136692
2019,NE-502,NE-502-LINCOLN,1342023,2304944,2166648,115247,134202,69148
2019,NH-500,NH-500-NEW HAMPSHIRE BALANCE OF STATE,2513546,4081308,3863860,204065,251355,122439
2019,NH-501,NH-501-MANCHESTER,1343582,1499438,1409473,74972,134358,44983
2019,NH-502,"NH-502-NASHUA,HILLSBOROUGH COUNTY",334859,1882236,1772434,94112,50000,56467
2019,NJ-500,NJ-500-ATLANTIC CITY & COUNTY,669192,522091,490767,36775,66919,20076
2019,NJ-501,NJ-501-BERGEN COUNTY,6667204,5167909,4857834,374824,666720,200016
2019,NJ-502,NJ-502-BURLINGTON COUNTY,388481,504223,473969,25211,50000,15127
2019,NJ-503,"NJ-503-CAMDEN CITY & COUNTY,GLOUCESTER,CAPE MAY,CUMBERLAND COUNTIES",4854782,3558094,3347818,324172,485478,145643
