cocnumber,coc_name,coc_state,rhy_program_type,rhy_authorized_representative_title,rhy_authorized_representative_zipcode
CA-600,Los Angeles City & County CoC,CA,TLP,EXECUTIVE DIRECTOR,90028-5705
CA-600,Los Angeles City & County CoC,CA,BCP,PRESIDENT AND CHIEF EXECUTIVE OFFICER,90028-5705
CA-600,Los Angeles City & County CoC,CA,BCP,VICE PRESIDENT,91606-1576
CA-600,Los Angeles City & County CoC,CA,TLP,PRESIDENT/CEO,90010-2619
CA-600,Los Angeles City & County CoC,CA,BCP,DIRECTOR OF DEVELOPMENT & COMMUNICATION,90010-2619
CA-601,San Diego City and County CoC,CA,TLP,N/A,92108-3723
CA-601,San Diego City and County CoC,CA,TLP,N/A,92110-4641
CA-601,San Diego City and County CoC,CA,BCP,EXECUTIVE DIRECTOR,92110-4641
CA-601,San Diego City and County CoC,CA,BCP,EXECUTIVE DIRECTOR,92110-4641
CA-601,San Diego City and County CoC,CA,TLP,PRESIDENT & CEO,92123-1658
CA-601,San Diego City and County CoC,CA,BCP,N/A,92123-1658
CA-602,"Santa Ana, Anaheim/Orange County CoC",CA,BCP,CHIEF EXECUTIVE OFFICER,90720-0000
CA-603,Santa Maria/Santa Barbara County CoC,CA,BCP,HARRIS COUNTY JUDGE,93101-2110
CA-603,Santa Maria/Santa Barbara County CoC,CA,BCP,EXECUTIVE DIRECTOR,93101-2110
CA-606,Long Beach CoC,CA,TLP,N/A,90806-4709
CA-608,Riverside City & County CoC,CA,TLP,EXECUTIVE DIRECTOR,92503-3660
CA-608,Riverside City & County CoC,CA,TLP,EXECUTIVE DIRECTOR,92503-3660
CA-608,Riverside City & County CoC,CA,BCP,EXECUTIVE DIRECTOR,92503-3660
CA-608,Riverside City & County CoC,CA,BCP,PRESIDENT/CHIEF EXECUTIVE OFFICER,92503-3660
CA-609,San Bernardino City & County CoC,CA,BCP,N/A,92395-3810
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",CA,BCP,EXECUTIVE DIRECTOR,93012-5121
CA-611,"Oxnard, San Buenaventura/Ventura County CoC",CA,BCP,N/A,93012-5121
CO-500,Colorado Balance of State CoC,CO,BCP,PRESIDENT & CEO,81506-8203
CO-500,Colorado Balance of State CoC,CO,BCP,EXECUTIVE DIRECTOR,81506-8203
CO-503,Metropolitan Denver CoC,CO,BCP,N/A,80304
CO-503,Metropolitan Denver CoC,CO,BCP,EXECUTIVE DIRECTOR,80304
CO-503,Metropolitan Denver CoC,CO,BCP,EXECUTIVE DIRECTOR,80010-0000
CO-503,Metropolitan Denver CoC,CO,BCP,EXECUTIVE DIRECTOR,80123-4501
CO-503,Metropolitan Denver CoC,CO,TLP,CEO,80205-2813
CO-503,Metropolitan Denver CoC,CO,BCP,EXECUTIVE DIRECTOR,80205-2813
CO-503,Metropolitan Denver CoC,CO,BCP,CFO,80205-2813
CO-504,Colorado Springs/El Paso County CoC,CO,BCP,EXECUTIVE DIRECTOR,80903-3609
CO-504,Colorado Springs/El Paso County CoC,CO,BCP,EXECUTIVE DIRECTOR,80903-3609
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT,BCP,CHAIRMAN BOARD OF DIRECTORS,06807-2624
CT-503,"Bridgeport, Stamford, Norwalk/Fairfield County CoC",CT,BCP,EXECUTIVE DIRECTOR,06610-2654
CT-505,Connecticut Balance of State CoC,CT,TLP,EXECUTIVE DIRECTOR,06107-2105
CT-505,Connecticut Balance of State CoC,CT,BCP,PRESIDENT AND CHIEF EXECUTIVE OFFICER,06107-2105
CT-505,Connecticut Balance of State CoC,CT,BCP,CHIEF OPERATIONS OFFICER,06702-1409
CT-505,Connecticut Balance of State CoC,CT,BCP,VICE PRESIDENT,06451-3226
CT-505,Connecticut Balance of State CoC,CT,TLP,CHIEF OPERATING OFFICER,06515-1211
CT-505,Connecticut Balance of State CoC,CT,BCP,EXECUTIVE DIRECTOR,06515-1211
CT-505,Connecticut Balance of State CoC,CT,BCP,CHIEF EXECUTIVE OFFICER,06515-1211
DC-500,District of Columbia CoC,DC,TLP,PRESIDENT AND CEO,20009-4705
DC-500,District of Columbia CoC,DC,TLP,PRESIDENT AND CEO,20009-4705
DC-500,District of Columbia CoC,DC,BCP,CHIEF EXECUTIVE OFFICER,20009-4705
DC-500,District of Columbia CoC,DC,BCP,VICE PRESIDENT,20009-4705
DC-500,District of Columbia CoC,DC,BCP,EXECUTIVE DIRECTOR,20009-4705
DC-500,District of Columbia CoC,DC,BCP,PRESIDENT AND CEO,20003-2948
DC-500,District of Columbia CoC,DC,BCP,EXECUTIVE DIRECTOR,20003-2948
DC-500,District of Columbia CoC,DC,BCP,N/A,20003-2948
DE-500,Delaware Statewide CoC,DE,BCP,EXECUTIVE DIRECTOR,19809-2154
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL,TLP,PRESIDENT AND CHIEF EXECUTIVE OFFICER,33781-5600
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL,TLP,PRESIDENT AND CHIEF EXECUTIVE OFFICER,33781-5600
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL,BCP,EXECUTIVE DIRECTOR,33781-5600
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL,BCP,EXECUTIVE DIRECTOR,33781-5600
FL-502,"St. Petersburg, Clearwater, Largo/Pinellas County CoC",FL,BCP,N/A,33781-5600
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL,BCP,PRESIDENT BOARD OF DIRECTORS,32114-2810
FL-504,"Daytona Beach, Daytona/Volusia, Flagler Counties CoC",FL,BCP,EXECUTIVE DIRECTOR,32114-2810
FL-506,Tallahassee/Leon County CoC,FL,TLP,CHIEF EXECUTIVE OFFICER/PRESIDENT,32310-8136
FL-506,Tallahassee/Leon County CoC,FL,BCP,EXECUTIVE DIRECTOR,32310-8136
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",FL,TLP,EXECUTIVE DIRECTOR,32792-5508
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",FL,TLP,N/A,32792-5508
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",FL,BCP,PRESIDENT - BOARD OF DIRECTORS,32792-5508
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",FL,BCP,N/A,32792-5508
FL-508,"Gainesville/Alachua, Putnam Counties CoC",FL,BCP,N/A,32608-3540
FL-508,"Gainesville/Alachua, Putnam Counties CoC",FL,BCP,CHIEF EXECUTIVE OFFICER,32608-3540
FL-510,"Jacksonville-Duval, Clay Counties CoC",FL,BCP,EXECUTIVE DIRECTOR,32216-5704
FL-511,"Pensacola/Escambia, Santa Rosa Counties CoC",FL,BCP,PRESIDENT/CEO,32506-4106
FL-513,"Palm Bay, Melbourne/Brevard County CoC",FL,TLP,PRESIDENT/CEO,32922-6411
FL-513,"Palm Bay, Melbourne/Brevard County CoC",FL,BCP,EXECUTIVE DIRECTOR,32922-6411
FL-513,"Palm Bay, Melbourne/Brevard County CoC",FL,BCP,N/A,32922-6411
FL-514,Ocala/Marion County CoC,FL,BCP,CHIEF EXECUTIVE OFFICER,34470-3840
FL-515,"Panama City/Bay, Jackson Counties CoC",FL,TLP,N/A,32405-2910
FL-515,"Panama City/Bay, Jackson Counties CoC",FL,TLP,N/A,32405-2910
FL-519,Pasco County CoC,FL,BCP,VICE PRESIDENT,34653-4520
FL-519,Pasco County CoC,FL,BCP,EXECUTIVE DIRECTOR,34653-4520
FL-600,Miami-Dade County CoC,FL,BCP,CHIEF ADMINISTRATIVE OFFICER,33125-1120
FL-601,Ft Lauderdale/Broward County CoC,FL,BCP,EXECUTIVE DIRECTOR,33304-4116
FL-603,"Ft Myers, Cape Coral/Lee County CoC",FL,BCP,EXECUTIVE DIRECTOR,33901-8219
FL-604,Monroe County CoC,FL,BCP,VICE PRESIDENT CHILDREN & YOUTH SERVICES,33070-2005
FL-604,Monroe County CoC,FL,BCP,PRESIDENT & CEO,33070-2005
GA-500,Atlanta CoC,GA,TLP,N/A,30316-2936
GA-500,Atlanta CoC,GA,TLP,EXECUTIVE DIRECTOR,30318-3822
GA-500,Atlanta CoC,GA,TLP,EXECUTIVE DIRECTOR,30318-3822
GA-500,Atlanta CoC,GA,BCP,CEO,30318-3822
GA-501,Georgia Balance of State CoC,GA,BCP,EXECUTIVE DIRECTOR,30120-6602
GA-501,Georgia Balance of State CoC,GA,BCP,N/A,30276-3375
GA-501,Georgia Balance of State CoC,GA,TLP,BOARD CHAIRMAN,31701-2535
GA-501,Georgia Balance of State CoC,GA,BCP,EXECUTIVE DIRECTOR,31701-2535
GA-501,Georgia Balance of State CoC,GA,BCP,BOARD PRESIDENT,31520-6912
GA-502,Fulton County CoC,GA,BCP,TOWN SUPERVISOR,30291-2391
GA-502,Fulton County CoC,GA,BCP,DIRECTOR OF GRANTS AND DEVELOPMENT RESEARCH,30213-3912
GA-502,Fulton County CoC,GA,BCP,EXECUTIVE DIRECTOR,30213-3912
GA-507,Savannah/Chatham County CoC,GA,BCP,EXECUTIVE DIRECTOR,31405-3028
GA-507,Savannah/Chatham County CoC,GA,BCP,EXECUTIVE DIRECTOR AND CHIEF EXECUTIVE OFFICER,31401-6927
GA-507,Savannah/Chatham County CoC,GA,BCP,N/A,31401-6927
HI-501,Honolulu City and County CoC,HI,TLP,EXECUTIVE DIRECTOR,96813-5416
HI-501,Honolulu City and County CoC,HI,BCP,EXECUTIVE DIRECTOR,96813-5416
IA-501,Iowa Balance of State CoC,IA,BCP,EXECUTIVE DIRECTOR,52405-4865
IA-501,Iowa Balance of State CoC,IA,TLP,EXECUTIVE DIRECTOR,52240-1806
IA-501,Iowa Balance of State CoC,IA,TLP,N/A,50010-6226
IA-501,Iowa Balance of State CoC,IA,TLP,CEO,50010-6226
IA-501,Iowa Balance of State CoC,IA,BCP,CHIEF EXECUTIVE OFFICER,50010-6226
IA-501,Iowa Balance of State CoC,IA,BCP,CEO,50010-6226
IA-502,Des Moines/Polk County CoC,IA,BCP,EXECUTIVE DIRECTOR,50309-5324
ID-500,Boise/Ada County CoC,ID,BCP,CHIEF EXECUTIVE OFFICER,83706
ID-501,Idaho Balance of State CoC,ID,BCP,PRESIDENT/CEO,83301-6153
IL-500,McHenry County CoC,IL,BCP,EXECUTIVE VICE PRESIDENT,60050-8350
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",IL,TLP,CHIEF EXECUTIVE OFFICER,61820-7236
IL-503,"Champaign, Urbana, Rantoul/Champaign County CoC",IL,BCP,EXECUTIVE DIRECTOR,61820-7236
IL-508,"East St. Louis, Belleville/St. Clair County CoC",IL,BCP,EXECUTIVE DIRECTOR,62205-2800
IL-510,Chicago CoC,IL,BCP,PRESIDENT AND CEO,60606-4448
IL-510,Chicago CoC,IL,BCP,EXECUTIVE DIRECTOR,60606-6996
IL-510,Chicago CoC,IL,TLP,EXECUTIVE DIRECTOR,60610-4524
IL-510,Chicago CoC,IL,BCP,PRESIDENT - BOARD OF DIRECTORS,60610-4524
IL-510,Chicago CoC,IL,BCP,CHIEF EXECUTIVE OFFICER,60610-4524
IL-510,Chicago CoC,IL,TLP,PRESIDENT & CEO,60640-4407
IL-510,Chicago CoC,IL,BCP,EXECUTIVE DIRECTOR,60640-4407
IL-510,Chicago CoC,IL,BCP,N/A,60640-4407
IL-510,Chicago CoC,IL,BCP,PRESIDENT & CEO,60640-4407
IL-510,Chicago CoC,IL,BCP,EXECUTIVE DIRECTOR,60622-2854
IL-510,Chicago CoC,IL,TLP,VP OF EXTERNAL AFFAIRS AND MARKETING,60613-2193
IL-511,Cook County CoC,IL,TLP,CHIEF FINANCIAL OFFICER,60461-1021
IL-511,Cook County CoC,IL,BCP,EXECUTIVE DIRECTOR,60089-1926
IL-511,Cook County CoC,IL,TLP,EXECUTIVE DIRECTOR,60068-0000
IL-511,Cook County CoC,IL,BCP,EXECUTIVE DIRECTOR,60202-6500
IL-511,Cook County CoC,IL,BCP,EXECUTIVE DIRECTOR,60202-6500
IL-512,Bloomington/Central Illinois CoC,IL,TLP,EXECUTIVE DIRECTOR,61701-4853
IL-512,Bloomington/Central Illinois CoC,IL,TLP,EXECUTIVE DIRECTOR,61701-4853
IL-512,Bloomington/Central Illinois CoC,IL,BCP,PRESIDENT/CEO,61701-4853
IL-512,Bloomington/Central Illinois CoC,IL,BCP,DIRECTOR,61701-4853
IL-512,Bloomington/Central Illinois CoC,IL,BCP,EXECUTIVE DIRECTOR,61701-4853
IL-514,Dupage County CoC,IL,TLP,CHIEF EXECUTIVE OFFICER,60540-6249
IL-514,Dupage County CoC,IL,TLP,CHIEF EXECUTIVE OFFICER,60540-6249
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",IL,TLP,EXECUTIVE DIRECTOR,61350-2833
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",IL,BCP,PRESIDENT/CEO,61350-2833
IL-518,"Rock Island, Moline/Northwestern Illinois CoC",IL,BCP,CHIEF EXECUTIVE OFFICER,61201-8607
IL-519,West Central Illinois CoC,IL,BCP,EXECUTIVE DIRECTOR,62650-1012
IN-502,Indiana Balance of State CoC,IN,BCP,N/A,46403-3921
IN-502,Indiana Balance of State CoC,IN,BCP,PRESIDENT AND CEO,47404-5143
IN-502,Indiana Balance of State CoC,IN,TLP,EXECUTIVE DIRECTOR,46628-2514
IN-502,Indiana Balance of State CoC,IN,BCP,EXECUTIVE DIRECTOR,46628-2514
IN-502,Indiana Balance of State CoC,IN,BCP,EXECUTIVE DIRECTOR,46628-2514
IN-503,Indianapolis CoC,IN,BCP,ADMINISTRATIVE DIRECTOR,46202-2250
IN-503,Indianapolis CoC,IN,BCP,EXECUTIVE DIRECTOR,46204-1800
IN-503,Indianapolis CoC,IN,TLP,EXECUTIVE DIRECTOR,46201-2006
IN-503,Indianapolis CoC,IN,BCP,N/A,46201-2006
KS-502,Wichita/Sedgwick County CoC,KS,BCP,BOARD TREASURER,67203-6694
KS-502,Wichita/Sedgwick County CoC,KS,TLP,EXECUTIVE DIRECTOR,67208-3001
KS-502,Wichita/Sedgwick County CoC,KS,BCP,PRESIDENT & CHIEF EXECUTIVE OFFICER,67208-3001
KS-502,Wichita/Sedgwick County CoC,KS,BCP,CHIEF OPERATING OFFICER,67208-3001
KY-500,Kentucky Balance of State CoC,KY,BCP,EXECUTIVE DIRECTOR,41071-1222
KY-500,Kentucky Balance of State CoC,KY,TLP,CHIEF EXECUTIVE OFFICER,41653-1614
KY-501,Louisville-Jefferson County CoC,KY,BCP,EXECUTIVE DIRECTOR,40217-1814
KY-501,Louisville-Jefferson County CoC,KY,BCP,EXECUTIVE DIRECTOR,40217-1814
KY-502,Lexington-Fayette County CoC,KY,BCP,EXECUTIVE DIRECTOR,40508-1241
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",LA,BCP,EXECUTIVE DIRECTOR,71129-3418
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",LA,BCP,EXECUTIVE DIRECTOR,71129-3418
LA-502,"Shreveport, Bossier/Northwest Louisiana CoC",LA,TLP,EXECUTIVE DIRECTOR,71104-2113
LA-503,New Orleans/Jefferson Parish CoC,LA,BCP,CHIEF EXECUTIVE OFFICER,70119-5577
LA-503,New Orleans/Jefferson Parish CoC,LA,BCP,EXECUTIVE DIRECTOR,70112-3505
LA-505,Monroe/Northeast Louisiana CoC,LA,TLP,EXECUTIVE DIRECTOR,71203-4344
LA-505,Monroe/Northeast Louisiana CoC,LA,BCP,CEO/EXECUTIVE DIRECTOR,71203-4344
LA-508,"Houma-Terrebonne, Thibodaux CoC",LA,BCP,N/A,70360-6304
LA-509,Louisiana Balance of State CoC,LA,TLP,EXECUTIVE DIRECTOR,70615-6898
LA-509,Louisiana Balance of State CoC,LA,TLP,EXECUTIVE DIRECTOR,70809-6121
LA-509,Louisiana Balance of State CoC,LA,BCP,PRESIDENT/CHIEF EXECUTIVE OFFICER,70809-6121
MA-500,Boston CoC,MA,TLP,EXECUTIVE DIRECTOR,02111-1219
MA-500,Boston CoC,MA,TLP,EXECUTIVE DIRECTOR,02111-1219
MA-500,Boston CoC,MA,BCP,EXECUTIVE DIRECTOR,02111-1219
MA-500,Boston CoC,MA,BCP,N/A,02111-1219
MA-504,Springfield/Hampden County CoC,MA,BCP,N/A,01107-1104
MA-504,Springfield/Hampden County CoC,MA,BCP,PRESIDENT/CEO,01107-1104
MA-506,Worcester City & County CoC,MA,TLP,CHIEF EXECUTIVE OFFICER,01420-4727
MA-506,Worcester City & County CoC,MA,TLP,CHIEF EXECUTIVE OFFICER,01420-4727
MA-506,Worcester City & County CoC,MA,BCP,EXECUTIVE DIRECTOR,01420-4727
MA-506,Worcester City & County CoC,MA,BCP,EXECUTIVE DIRECTOR,01420-4727
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",MA,TLP,BOARD PRESIDENT,01301-2714
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",MA,BCP,EXECUTIVE DIRECTOR,01301-2714
MA-507,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",MA,BCP,PRESIDENT/CEO,01301-2714
MA-516,Massachusetts Balance of State CoC,MA,BCP,FISCAL AND ADMINISTRATIVE MANAGER,01702-6210
MA-516,Massachusetts Balance of State CoC,MA,BCP,EXECUTIVE DIRECTOR,01702-6210
MD-501,Baltimore CoC,MD,TLP,PRESIDENT AND CEO,21201-5992
MD-501,Baltimore CoC,MD,BCP,EXECUTIVE DIRECTOR,21207-7426
MD-501,Baltimore CoC,MD,BCP,EXECUTIVE DIRECTOR,21207-7426
MD-501,Baltimore CoC,MD,BCP,EXECUTIVE DIRECTOR,21207-7426
MD-600,Prince George's County CoC,MD,TLP,CHIEF EXECUTIVE OFFICER,20782-3301
MD-601,Montgomery County CoC,MD,TLP,SENIOR VP CFO CAO,20910-3557
ME-500,Maine Balance of State CoC,ME,TLP,EXECUTIVE DIRECTOR,04240-6736
ME-500,Maine Balance of State CoC,ME,BCP,REGIONAL ADVANCEMENT MANAGER,04240-6736
ME-500,Maine Balance of State CoC,ME,BCP,N/A,04240-6736
ME-500,Maine Balance of State CoC,ME,TLP,N/A,04401-4952
ME-500,Maine Balance of State CoC,ME,BCP,EXECUTIVE DIRECTOR,04101-4952
ME-500,Maine Balance of State CoC,ME,TLP,EXECUTIVE DIRECTOR,04276-1846
ME-500,Maine Balance of State CoC,ME,BCP,EXECUTIVE DIRECTOR,04401-6327
MI-500,Michigan Balance of State CoC,MI,TLP,EXECUTIVE DIRECTOR,48858-2503
MI-500,Michigan Balance of State CoC,MI,BCP,EXECUTIVE DIRECTOR,48858-2503
MI-501,Detroit CoC,MI,TLP,EXECUTIVE DIRECTOR,48208-2365
MI-501,Detroit CoC,MI,TLP,EXECUTIVE DIRECTOR,48208-2365
MI-501,Detroit CoC,MI,BCP,CEO,48208-2365
MI-502,"Dearborn, Dearborn Heights, Westland/Wayne County CoC",MI,BCP,EXECUTIVE DIRECTOR,48203-3127
MI-503,"St. Clair Shores, Warren/Macomb County CoC",MI,TLP,EXECUTIVE DIRECTOR,48043-2558
MI-503,"St. Clair Shores, Warren/Macomb County CoC",MI,TLP,EXECUTIVE DIRECTOR,48043-2558
MI-503,"St. Clair Shores, Warren/Macomb County CoC",MI,BCP,EXECUTIVE DIRECTOR,48043-2558
MI-503,"St. Clair Shores, Warren/Macomb County CoC",MI,BCP,VICE PRESIDENT,48043-2558
MI-503,"St. Clair Shores, Warren/Macomb County CoC",MI,BCP,VICE PRESIDENT,48043-2558
MI-504,"Pontiac, Royal Oak/Oakland County CoC",MI,BCP,EXECUTIVE DIRECTOR,48302-0046
MI-505,Flint/Genesee County CoC,MI,BCP,EXECUTIVE DIRECTOR,48502-1010
MI-505,Flint/Genesee County CoC,MI,BCP,EXECUTIVE DIRECTOR,48502-1010
MI-506,"Grand Rapids, Wyoming/Kent County CoC",MI,BCP,EXECUTIVE DIRECTOR,49505-5904
MI-506,"Grand Rapids, Wyoming/Kent County CoC",MI,BCP,EXECUTIVE DIRECTOR,49505-5904
MI-507,"Portage, Kalamazoo City & County CoC",MI,TLP,PRESIDENT/CEO,49048-1611
MI-507,"Portage, Kalamazoo City & County CoC",MI,BCP,EXECUTIVE DIRECTOR,49048-1611
MI-508,"Lansing, East Lansing/Ingham County CoC",MI,TLP,EXECUTIVE DIRECTOR,48911-4214
MI-508,"Lansing, East Lansing/Ingham County CoC",MI,BCP,EXECUTIVE DIRECTOR,48911-4214
MI-509,Washtenaw County CoC,MI,TLP,EXECUTIVE DIRECTOR,48104-3548
MI-509,Washtenaw County CoC,MI,BCP,CEO,48104-3548
MI-510,Saginaw City & County CoC,MI,TLP,PRESIDENT AND CEO,48602-2631
MI-510,Saginaw City & County CoC,MI,BCP,CFO,48602-2631
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",MI,BCP,PRESIDENT AND CEO,49684-4516
MI-513,"Marquette, Alger Counties CoC",MI,BCP,CHIEF EXECUTIVE OFFICER,49855-5118
MI-516,"Norton Shores, Muskegon City & County CoC",MI,TLP,EXECUTIVE DIRECTOR,49441-2866
MI-518,Livingston County CoC,MI,TLP,EXECUTIVE DIRECTOR,48169-9383
MI-518,Livingston County CoC,MI,BCP,EXECUTIVE DIRECTOR,48169-9383
MI-518,Livingston County CoC,MI,BCP,EXECUTIVE DIRECTOR,48169-9383
MN-500,Minneapolis/Hennepin County CoC,MN,TLP,EXECUTIVE DIRECTOR,55411-3944
MN-500,Minneapolis/Hennepin County CoC,MN,TLP,VP OF CLIENT SERVICES & COMMUNITY PARTNERSHIPS,55403-2513
MN-500,Minneapolis/Hennepin County CoC,MN,TLP,EXECUTIVE DIRECTOR,55405-2705
MN-500,Minneapolis/Hennepin County CoC,MN,TLP,EXECUTIVE DIRECTOR,55405-2705
MN-500,Minneapolis/Hennepin County CoC,MN,BCP,EXECUTIVE DIRECTOR,55405-2705
MN-500,Minneapolis/Hennepin County CoC,MN,BCP,BOARD TREASURER,55403-1325
