year,coc_number,caa_coc_award_amount
2018,VA-600,2754238
2018,VA-601,8996856
2018,WA-500,39168105
2018,WA-501,7841945
2018,WA-502,3668195
2018,VI-500,164698
2018,VT-500,3568157
2018,VT-501,1171690
2018,OR-507,2631284
2018,PA-500,33533360
2018,PA-501,1779727
2018,OR-503,647600
2018,OR-505,3127226
2018,OR-506,3752858
2018,PA-505,1688042
2018,PA-506,2825385
2018,PA-508,2826479
2018,PA-502,5017068
2018,PA-503,4129753
2018,PA-504,3132415
2018,OK-502,3796648
2018,OK-503,587009
2018,OK-504,419580
2018,OH-508,2877067
2018,OK-500,247395
2018,OK-501,2728209
2018,OR-500,3507606
2018,OR-501,23616254
2018,OR-502,233210
2018,OK-505,359010
2018,OK-506,120854
2018,OK-507,119955
2018,PA-509,12119045
2018,TN-500,2480262
2018,TN-501,6576745
2018,TN-502,1412759
2018,SC-502,3131252
2018,SC-503,2422889
2018,SD-500,1259941
2018,TN-507,1635655
2018,TN-509,1645393
2018,TN-510,618021
2018,TN-503,1809215
2018,TN-504,3483867
2018,TN-506,716095
2018,PA-600,19782113
2018,PA-601,9625471
2018,PA-603,1407225
2018,PA-510,2198965
2018,PA-511,1245611
2018,PA-512,1312086
2018,RI-500,6909034
2018,SC-500,1874085
2018,SC-501,3025950
2018,PA-605,2181765
2018,PR-502,12981645
2018,PR-503,5125620
2018,DE-500,8017797
2018,FL-501,6136796
2018,FL-502,4010705
2018,CT-503,11159859
2018,CT-505,36525167
2018,DC-500,22096241
2018,FL-506,1385763
2018,FL-507,7829344
2018,FL-508,670363
2018,FL-503,1893571
2018,FL-504,1420440
2018,FL-505,658416
2018,CA-608,9754646
2018,CA-609,9767625
2018,CA-611,2180607
2018,CA-604,5745883
2018,CA-606,8233794
2018,CA-607,3466789
2018,CO-500,2983995
2018,CO-503,26458606
2018,CO-504,2335663
2018,CA-612,2378978
2018,CA-613,165691
2018,CA-614,939693
2018,FL-509,1661189
2018,FL-605,5630604
2018,FL-606,270734
2018,GA-500,7321928
2018,FL-602,250568
2018,FL-603,1760581
2018,FL-604,477526
2018,GA-504,615226
2018,GA-505,1483591
2018,GA-506,2218833
2018,GA-501,18649714
2018,GA-502,2422514
2018,GA-503,740693
2018,FL-513,717886
2018,FL-514,292129
2018,FL-515,30765
2018,FL-510,4508181
2018,FL-511,762337
2018,FL-512,126214
2018,FL-520,394161
2018,FL-600,30586660
2018,FL-601,9916663
2018,FL-517,160123
2018,FL-518,349022
2018,FL-519,850289
2018,AZ-502,27256124
2018,CA-500,25405437
2018,CA-501,43321549
2018,AR-505,247942
2018,AZ-500,3912060
2018,AZ-501,8334299
2018,CA-505,15430571
2018,CA-506,1786579
2018,CA-507,4370656
2018,CA-502,36618328
2018,CA-503,20327219
2018,CA-504,3624821
2018,AL-501,3699553
2018,AL-502,420470
2018,AL-503,636987
2018,AK-500,3027245
2018,AK-501,789376
2018,AL-500,9223098
2018,AR-500,3076941
2018,AR-501,323438
2018,AR-503,308396
2018,AL-504,1191580
2018,AL-506,203299
2018,AL-507,1066686
2018,CA-508,2553159
2018,CA-524,0
2018,CA-525,9817
2018,CA-526,406899
2018,CA-521,481697
2018,CA-522,836284
2018,CA-523,0
2018,CA-601,20809562
2018,CA-602,23388929
2018,CA-603,1945236
2018,CA-527,0
2018,CA-530,0
2018,CA-600,122457061
2018,CA-512,12409563
2018,CA-513,2287218
2018,CA-514,10459761
2018,CA-509,1572595
2018,CA-510,3296809
2018,CA-511,4352004
2018,CA-518,1425556
2018,CA-519,534598
2018,CA-520,721588
2018,CA-515,1254737
2018,CA-516,323603
2018,CA-517,718075
2018,MD-503,2402691
2018,MD-504,786514
2018,MD-505,2917756
2018,MD-500,668444
2018,MD-501,22766097
2018,MD-502,900880
2018,MD-509,620588
2018,MD-510,236927
2018,MD-511,724431
2018,MD-506,402670
2018,MD-507,255444
2018,MD-508,2841450
2018,MA-507,1756048
2018,MA-508,768699
2018,MA-509,4571999
2018,MA-504,4099092
2018,MA-505,1758917
2018,MA-506,6551627
2018,MA-516,12576289
2018,MA-517,1896636
2018,MA-519,794777
2018,MA-510,1753272
2018,MA-511,6170506
2018,MA-515,1768888
2018,MD-512,503511
2018,MI-511,103083
2018,MI-512,687449
2018,MI-513,125785
2018,MI-508,2478509
2018,MI-509,5806240
2018,MI-510,2039269
2018,MI-517,824043
2018,MI-518,143111
2018,MI-519,1129896
2018,MI-514,288659
2018,MI-515,125684
2018,MI-516,577871
2018,ME-500,12723012
2018,MI-500,9015642
2018,MI-501,26636844
2018,MD-513,1283378
2018,MD-600,5817344
2018,MD-601,8982609
2018,MI-505,1852934
2018,MI-506,6131861
2018,MI-507,1623334
2018,MI-502,4051675
2018,MI-503,1203265
2018,MI-504,6080995
2018,IL-506,4029727
2018,IL-507,1746846
2018,IL-508,3281137
2018,IL-502,2254639
2018,IL-503,703314
2018,IL-504,1786998
2018,IL-512,1010884
2018,IL-513,401503
2018,IL-514,4744678
2018,IL-509,582761
2018,IL-510,71943688
2018,IL-511,12734656
2018,HI-500,2542866
2018,HI-501,9210982
2018,IA-500,741468
2018,GA-507,3357485
2018,GA-508,4998875
2018,GU-500,1095910
2018,ID-501,3171169
2018,IL-500,920259
2018,IL-501,1463478
2018,IA-501,4965905
2018,IA-502,3438512
2018,ID-500,1046625
2018,IL-515,1014736
2018,LA-502,3892590
2018,LA-503,20668410
2018,LA-505,1698012
2018,KY-501,9632327
2018,KY-502,1765174
2018,LA-500,2764151
2018,MA-500,28251724
2018,MA-502,1852283
2018,MA-503,1804464
2018,LA-506,2428518
2018,LA-507,708464
2018,LA-509,17880159
2018,IL-519,646796
2018,IL-520,986766
2018,IN-502,16476143
2018,IL-516,846639
2018,IL-517,1769946
2018,IL-518,740232
2018,KS-505,663035
2018,KS-507,2527967
2018,KY-500,9173973
2018,IN-503,5370871
2018,KS-502,2598967
2018,KS-503,1813769
2017,NY-523,1575064
2017,NY-505,8728263
2017,NY-503,5185778
2017,NV-502,558309
2017,NV-500,13597125
2017,NV-501,1707408
2017,NY-508,12123086
2017,NY-507,3975845
2017,NY-607,303643
2017,NY-600,107934572
2017,NY-501,1541787
2017,NY-603,12114951
2017,NJ-504,6310835
2017,NJ-510,612635
2017,NJ-511,4256254
2017,NJ-503,3586935
2017,NJ-506,6599004
2017,NJ-507,3115656
2017,NJ-512,141059
2017,NM-501,5126788
2017,NM-500,5601571
2017,NJ-509,1773495
2017,NJ-502,511508
2017,NJ-514,3996051
2017,NY-500,12425702
2017,NY-510,220812
2017,OH-506,4718199
2017,OH-507,16297839
2017,NY-608,1172226
2017,NY-513,327362
2017,NY-604,17535267
2017,OH-502,27022106
2017,OH-503,12018118
2017,OH-505,9475557
2017,OH-508,3021970
2017,OH-501,4303927
2017,OH-504,1805621
2017,NY-606,850221
2017,NY-518,3291261
2017,NY-514,224360
2017,NY-511,1675462
2017,NY-512,3315773
2017,NY-504,328323
2017,NY-522,1290975
2017,NY-601,1336134
2017,NY-602,2629426
2017,NY-516,146634
2017,NY-519,463953
2017,NY-520,90731
2017,MO-602,576870
2017,MO-503,348919
2017,MO-604,13556575
2017,MO-603,1276389
2017,MO-606,5138708
2017,MO-600,977699
2017,MS-503,834942
2017,MS-500,917234
2017,MT-500,2500597
2017,MO-500,2043476
2017,MO-501,11811783
2017,MS-501,3274205
2017,MN-501,7204786
2017,MN-504,444029
2017,MN-509,3053541
2017,MI-517,849666
2017,MI-510,1884846
2017,MN-500,12360882
2017,MN-503,3929541
2017,MN-508,825548
2017,MN-511,998307
2017,MN-506,692180
2017,MN-505,1389172
2017,MN-502,2196280
2017,NC-502,1290365
2017,NH-501,1524628
2017,NH-502,1869026
2017,NH-500,3860250
2017,NE-500,2062221
2017,NE-502,2321900
2017,NE-501,4666784
2017,NJ-516,1210313
2017,NJ-513,424970
2017,NJ-500,573077
2017,NJ-515,4256465
2017,NJ-508,3479344
2017,NJ-501,5052351
2017,NC-513,683639
2017,NC-507,3352007
2017,NC-505,3812578
2017,NC-501,1289398
2017,NC-503,8613808
2017,NC-506,677710
2017,NC-516,289952
2017,NC-500,2011535
2017,ND-500,1816359
2017,NC-511,703508
2017,NC-509,803103
2017,NC-504,2049626
2017,OH-500,17176939
2017,VA-600,2685996
2017,VA-601,8874225
2017,VA-521,1031903
2017,UT-504,1106312
2017,UT-500,7358531
2017,VA-603,850002
2017,VA-514,309879
2017,VA-505,2014492
2017,VA-513,381945
2017,VA-503,1682457
2017,VA-502,847108
2017,VA-501,3883792
2017,TX-600,16216952
2017,TX-611,603751
2017,TX-601,12259386
2017,TX-607,6927605
2017,TX-700,33425255
2017,TX-500,9175480
2017,TX-624,333706
2017,TX-701,285591
2017,UT-503,1921484
2017,TX-503,5935642
2017,TX-603,2627248
2017,TX-604,1011220
2017,VA-500,4637254
2017,WI-500,9014902
2017,WI-501,10639970
2017,WI-502,874070
2017,WA-503,3327896
2017,WA-504,8205677
2017,WA-502,3785801
2017,WV-503,1177440
2017,WV-500,423047
2017,WY-500,292970
2017,WI-503,3221647
2017,WV-508,4327355
2017,WV-501,2399517
2017,VA-604,601375
2017,VA-504,367475
2017,VI-500,135371
2017,VA-602,177752
2017,VA-508,370158
2017,VA-507,1203709
2017,WA-500,35146190
2017,WA-508,1981862
2017,WA-507,630395
2017,VT-500,3459417
2017,VT-501,1173447
2017,WA-501,6478975
2017,PA-500,33850808
2017,PA-600,17804312
2017,PA-601,9424572
2017,OR-505,3165384
2017,OR-500,3461909
2017,OR-506,3467881
2017,PA-509,11926872
2017,PA-501,1723525
2017,PA-511,1202908
2017,PA-603,1350432
2017,PA-512,1278307
2017,PA-506,2860315
2017,OK-504,414808
2017,OK-507,126381
2017,OK-506,117578
2017,OK-505,373908
2017,OK-500,276320
2017,OK-501,2669333
2017,OR-501,22902688
2017,OR-507,2420021
2017,OR-503,613831
2017,OK-503,587289
2017,OK-502,3558289
2017,OR-502,257733
2017,PA-508,2759076
2017,TN-500,2625867
2017,TN-509,1540859
2017,TN-507,1512509
2017,SC-500,1779733
2017,SD-500,1294469
2017,TN-501,6753127
2017,TN-506,746137
2017,TN-510,616756
2017,TN-502,1373859
2017,TN-503,1836040
2017,TN-504,3210260
2017,TN-512,520154
2017,PA-510,2391713
2017,PA-605,2207402
2017,PA-504,2974858
2017,PA-502,5037257
2017,PA-503,4145104
2017,PA-505,1646023
2017,SC-501,2948636
2017,SC-502,3188334
2017,SC-503,2037608
2017,PR-503,5887787
2017,PR-502,13495946
2017,RI-500,5796184
2017,MI-515,131448
2017,DC-500,22090633
2017,DE-500,7952480
2017,FL-513,689017
2017,CO-500,2908936
2017,CT-505,35307559
2017,CT-503,10561977
2017,FL-519,896530
2017,FL-605,5357650
2017,FL-501,6317794
2017,FL-502,4075020
2017,FL-510,4478205
2017,FL-506,1353425
2017,CA-520,739284
2017,CA-503,20180083
2017,CA-607,3255774
2017,CA-606,8185190
2017,CA-611,2291894
2017,CA-509,1619739
2017,CA-524,2490
2017,CO-504,2404868
2017,CO-503,25279492
2017,CA-608,9978890
2017,CA-511,4414672
2017,CA-614,944314
2017,FL-503,1863611
2017,FL-509,1675076
2017,FL-603,1739532
2017,FL-514,289901
2017,FL-504,1359720
2017,FL-517,181258
2017,FL-507,7550681
2017,GA-504,645136
2017,GA-508,5002841
2017,GA-503,729515
2017,FL-518,350172
2017,GA-500,7244948
2017,GA-501,17970632
2017,FL-600,30682032
2017,FL-505,622419
2017,FL-500,959495
2017,FL-604,493681
2017,FL-508,695392
2017,FL-601,10809436
2017,FL-511,757069
2017,FL-512,128228
2017,FL-602,207098
2017,FL-520,402698
2017,FL-606,286151
2017,FL-515,52548
2017,AZ-500,3996879
2017,AZ-501,8640835
2017,CA-600,109398295
2017,AR-501,376240
2017,AR-512,6980
2017,AZ-502,25888759
2017,CA-515,1264104
2017,CA-604,5544186
2017,CA-601,20035551
2017,CA-602,23458682
2017,CA-500,21891818
2017,CA-502,35327971
2017,AL-501,3853644
2017,AL-507,1208530
2017,AL-502,464413
2017,AK-500,2932595
2017,AK-501,798651
2017,AL-500,9368654
2017,AR-503,458189
2017,AR-500,3171571
2017,AR-505,257589
2017,AL-504,2032293
2017,AL-503,675817
2017,AL-506,199627
2017,CA-526,301121
2017,CA-512,11536494
2017,CA-521,490890
2017,CA-527,5524
2017,CA-506,1864863
2017,CA-508,2624602
2017,CA-505,14617036
2017,CA-609,10415784
2017,CA-603,1733165
2017,CA-530,3164
2017,CA-514,9390872
2017,CA-612,2416477
2017,CA-523,6469
2017,CA-507,4292518
2017,CA-517,745886
2017,CA-519,559817
2017,CA-518,1284935
2017,CA-522,858332
2017,CA-504,3312364
2017,CA-510,3231538
2017,CA-525,19147
2017,CA-513,2321272
2017,CA-613,178875
2017,CA-501,41476960
2017,CA-516,346035
2017,GA-502,2570781
2017,MD-501,21447046
2017,MD-505,2875569
2017,MD-500,661652
2017,MA-505,1721502
2017,MA-504,3810961
2017,MD-509,598170
2017,MD-601,8879588
2017,MD-507,252206
2017,MD-600,5382710
2017,MD-503,2420435
2017,MD-506,406325
2017,MD-508,2827653
2017,MA-509,4443240
2017,MA-519,809318
2017,MA-506,6380237
2017,MA-516,12777016
2017,MA-503,1649356
2017,MA-500,26368398
2017,MA-507,1709231
2017,MA-508,846908
2017,MA-502,1845974
2017,MA-515,1743743
2017,MA-511,5708410
2017,MA-517,1921025
2017,MD-510,249595
2017,MI-502,3891144
2017,MI-506,5678115
2017,MI-505,2058079
2017,MI-519,1046885
2017,MI-516,572710
2017,MI-503,1248683
2017,MI-508,2501877
2017,MI-511,109914
2017,MI-518,231017
2017,MI-512,692000
2017,MI-514,311584
2017,MI-523,927142
2017,MD-512,494672
2017,MD-513,1249597
2017,ME-500,12932975
2017,MD-502,944769
2017,MD-504,768634
2017,MD-511,762931
2017,MI-501,25461727
2017,MI-509,5755670
2017,MI-507,1695277
2017,MI-500,9091021
2017,MI-513,124049
2017,MI-504,6037945
2017,IL-520,813941
2017,IL-518,902842
2017,IL-508,3240582
2017,IL-510,68304040
2017,IL-502,2064452
2017,IL-511,12080398
2017,IL-515,912737
2017,IL-507,1790507
2017,IL-504,1870011
2017,IL-512,1008666
2017,IL-501,1509896
2017,IL-506,4075624
2017,GU-500,1095776
2017,HI-501,9353552
2017,HI-500,2408944
2017,GA-506,2200978
2017,GA-507,3266642
2017,GA-505,1401337
2017,ID-500,916120
2017,ID-501,2801256
2017,IL-514,4654874
2017,IA-501,4970453
2017,IA-500,722532
2017,IA-502,3415691
2017,IL-503,713497
2017,LA-500,2612552
2017,LA-502,4039037
2017,LA-509,15634597
2017,KY-502,1493288
2017,KY-501,9551760
2017,KY-500,8344234
2017,LA-508,1095849
2017,LA-506,2197826
2017,MA-510,1817233
2017,LA-503,19076053
2017,LA-507,737471
2017,LA-505,1656441
2017,IL-513,415203
2017,IL-500,956314
2017,IL-519,660511
2017,IL-516,790791
2017,IL-509,580973
2017,IL-517,1765661
2017,KS-507,2620000
2017,KS-502,2575661
2017,KS-503,1935736
2017,IN-502,14045129
2017,IN-503,5255658
2017,KS-505,704323
2016,NY-606,731495
2016,NY-523,1581004
2016,NY-505,8658238
2016,NV-502,574995
2016,NV-500,13484302
2016,NV-501,1703062
2016,NY-603,10612648
2016,NY-508,11765574
2016,NY-507,3975203
2016,NY-503,5154071
2016,NY-600,107493608
2016,NY-501,1527165
2016,NJ-510,566500
2016,NJ-504,6604274
2016,NJ-511,4090373
2016,NJ-503,3548788
2016,NJ-506,6557997
2016,NJ-507,2949971
2016,NJ-512,139618
2016,NM-501,4963571
2016,NM-500,5794442
2016,NJ-509,1780503
2016,NJ-502,478083
2016,NJ-514,3837859
2016,NY-511,1607135
2016,NY-510,197057
2016,OH-506,4711705
2016,OH-507,16189733
2016,NY-513,314662
2016,NY-520,88936
2016,NY-604,15997082
2016,OH-502,26997332
2016,OH-503,11968018
2016,OH-505,8907293
2016,OH-508,2696040
2016,OH-501,4180179
2016,OH-504,1749421
2016,NY-504,328417
2016,NY-518,3110204
2016,NY-514,217879
2016,NY-607,366967
2016,NY-500,11853955
2016,NY-512,3292226
2016,NY-601,1338222
2016,NY-602,2743298
2016,NY-522,1297889
2016,NY-516,143907
2016,NY-519,450923
2016,NY-608,1166718
2016,NJ-500,519516
2016,MO-606,4942202
2016,MO-600,901775
2016,MO-602,549936
2016,MN-511,984744
2016,MO-604,12834032
2016,MO-603,1258363
2016,MS-501,3241980
2016,MS-503,812476
2016,MS-500,1313447
2016,MO-503,287447
2016,MO-500,1947438
2016,MO-501,11327426
2016,MN-504,441917
2016,MN-500,11814366
2016,MN-501,6976719
2016,MI-515,129387
2016,MI-517,818093
2016,MI-510,1806174
2016,MN-502,2130652
2016,MN-503,3775053
2016,MN-508,824001
2016,MN-509,3045367
2016,MN-505,1406233
2016,MN-506,672506
2016,MT-500,2446282
2016,NE-501,4235409
2016,NH-501,1544841
2016,NH-502,1869026
2016,ND-500,1903991
2016,NE-500,2027150
2016,NE-502,2257143
2016,NJ-516,1224785
2016,NJ-501,4787854
2016,NJ-513,416211
2016,NH-500,3728711
2016,NJ-515,4598725
2016,NJ-508,3473553
2016,NC-501,1206060
2016,NC-513,656714
2016,NC-507,3187757
2016,NC-502,1393651
2016,NC-506,668205
2016,NC-503,8409964
2016,NC-504,2006402
2016,NC-516,288831
2016,NC-500,1896891
2016,NC-505,3659196
2016,NC-511,698580
2016,NC-509,835476
2016,VA-600,2539044
2016,VA-601,8421041
2016,VA-521,891945
2016,UT-504,978525
2016,UT-500,7291633
2016,VA-603,808196
2016,VA-514,273731
2016,VA-505,2017216
2016,VA-513,361353
2016,VA-503,1401011
2016,VA-502,835191
2016,VA-501,3903688
2016,TX-600,15979190
2016,TX-611,595303
2016,TX-601,11323933
2016,TX-607,6499737
2016,TX-700,33233058
2016,TX-500,8654457
2016,TX-624,301888
2016,TX-701,288891
2016,UT-503,1819427
2016,TX-503,5686658
2016,TX-603,2763916
2016,TX-604,988312
2016,VA-500,4346322
2016,WI-500,9101147
2016,WI-502,874678
2016,WI-501,10453943
2016,WA-503,3303548
2016,WA-504,7982600
2016,WA-502,3776210
2016,WV-503,1223910
2016,WV-500,413181
2016,WY-500,291611
2016,WI-503,3156593
2016,WV-508,4018831
2016,WV-501,2208890
2016,VA-604,564657
2016,VA-504,364572
2016,VI-500,107651
2016,VA-602,167480
2016,VA-508,359813
2016,VA-507,1204885
2016,WA-500,35035952
2016,WA-508,1738388
2016,WA-507,503296
2016,VT-500,3335037
2016,VT-501,1143175
2016,WA-501,6373115
2016,TN-502,1390506
2016,OR-506,3367261
2016,PA-500,33542976
2016,PA-600,17787724
2016,OR-507,2294569
2016,OR-503,597510
2016,OR-500,3377840
2016,PA-506,2828868
2016,PA-509,11077675
2016,PA-501,1683543
2016,PA-601,9055226
2016,PA-603,1347740
2016,PA-512,1236933
2016,OK-500,286706
2016,OK-504,408358
2016,OK-507,120983
2016,OH-500,17469842
2016,OK-505,364564
2016,OK-501,2794032
2016,OR-502,265111
2016,OR-505,3134740
2016,OR-501,21649478
2016,OK-506,108098
2016,OK-503,578363
2016,OK-502,3230712
2016,PA-511,1174207
2016,TN-501,6706950
2016,TN-500,2589462
2016,TN-504,3234117
2016,SC-503,1918122
2016,SC-502,2856086
2016,SD-500,1264095
2016,TN-512,492136
2016,TN-506,780613
2016,TN-510,525674
2016,TN-509,1528834
2016,TN-507,1546745
2016,TN-503,1816073
2016,PA-505,1642543
2016,PA-510,2311097
2016,PA-605,2267190
2016,PA-508,2586130
2016,PA-502,5141756
2016,PA-503,3917394
2016,RI-500,5932887
2016,SC-501,3240222
2016,SC-500,1719596
2016,PA-504,2973442
2016,PR-503,5658674
2016,PR-502,13057303
2016,MI-518,219006
2016,FL-502,4037891
2016,FL-510,4447876
2016,FL-506,1341171
2016,DC-500,21390844
2016,DE-500,7858054
2016,FL-513,687401
2016,FL-501,6242867
2016,FL-604,471296
2016,FL-508,627897
2016,FL-519,886629
2016,FL-605,4946880
2016,FL-503,1636029
2016,CA-608,9912027
2016,CA-511,4290724
2016,CA-614,928536
2016,CA-520,738049
2016,CA-503,19511838
2016,CA-607,3176554
2016,CO-500,2870432
2016,CT-505,34391375
2016,CT-503,10192385
2016,CA-524,2490
2016,CO-504,2443940
2016,CO-503,24442543
2016,FL-505,574187
2016,FL-518,357356
2016,GA-500,6979344
2016,GA-501,16095286
2016,FL-509,1577584
2016,FL-603,1661056
2016,FL-514,190997
2016,GA-502,2604210
2016,GA-506,2152110
2016,GA-507,3389764
2016,GA-504,622090
2016,GA-508,4781918
2016,GA-503,663759
2016,FL-500,871530
2016,FL-602,189201
2016,FL-606,278807
2016,FL-601,10740809
2016,FL-600,29898527
2016,FL-520,450265
2016,FL-517,179216
2016,FL-512,133345
2016,FL-507,7445861
2016,FL-515,52529
2016,FL-511,784376
2016,FL-504,1307457
2016,CA-509,1701242
2016,AZ-502,25418465
2016,CA-600,104971653
2016,CA-602,22354847
2016,AR-501,382645
2016,AZ-500,3999989
2016,AZ-501,8414896
2016,CA-604,5469432
2016,CA-601,18229194
2016,CA-526,313976
2016,CA-500,20015353
2016,CA-502,33998867
2016,CA-515,1269692
2016,AL-500,8909627
2016,AL-501,3851277
2016,AL-507,916817
2016,AK-501,760458
2016,AK-500,2936677
2016,AL-502,469366
2016,AR-503,426096
2016,AR-500,3213437
2016,AR-505,271580
2016,AL-504,2105613
2016,AL-503,703494
2016,AL-506,216199
2016,CA-518,1288063
2016,CA-512,8583356
2016,CA-521,487860
2016,CA-603,1667801
2016,CA-506,1967620
2016,CA-508,1953274
2016,CA-505,13076992
2016,CA-530,3091
2016,CA-606,7641265
2016,CA-611,2174740
2016,CA-514,9006586
2016,CA-612,2371801
2016,CA-609,10339584
2016,CA-504,3076336
2016,CA-519,528301
2016,CA-613,191704
2016,CA-522,822933
2016,CA-507,3328338
2016,CA-517,715483
2016,CA-510,3110273
2016,CA-525,9817
2016,CA-513,2188521
2016,CA-501,32166773
2016,CA-516,346705
2016,CA-527,5511
2016,MD-501,21106170
2016,MD-505,2766391
2016,MD-500,650648
2016,MA-505,1739069
2016,MA-504,3479984
2016,MD-509,568257
2016,MD-600,4903772
2016,MD-510,237274
2016,MD-502,920787
2016,MD-503,2303378
2016,MD-506,390453
2016,MD-508,2648561
2016,MA-519,798948
2016,MA-506,6357364
2016,MA-516,10538415
2016,MA-503,1758102
2016,MA-500,24583209
2016,MA-509,4141665
2016,MA-507,1571830
2016,MA-508,833056
2016,MA-502,1732766
2016,MA-515,1775574
2016,MA-511,5530889
2016,MA-517,1922372
2016,MD-601,8288534
2016,MI-516,571984
2016,MI-503,1198139
2016,MI-502,3706890
2016,MI-501,23662172
2016,MI-507,1730134
2016,MI-519,1017437
2016,MI-514,305356
2016,MI-508,2551559
2016,MI-511,107596
2016,MI-506,5511453
2016,MI-505,2105600
2016,MI-512,675516
2016,MD-512,501992
2016,MD-513,1231811
2016,ME-502,3498449
2016,MD-504,785410
2016,MD-507,244476
2016,MD-511,687157
2016,MI-504,5807618
2016,MI-509,5733891
2016,MI-523,929250
2016,ME-500,8312302
2016,MI-513,131967
2016,MI-500,8872886
2016,MA-518,1317531
2016,IL-508,3189769
2016,IL-512,1022802
2016,IL-506,3752278
2016,IL-511,11770688
2016,IL-520,842336
2016,IL-518,943042
2016,IL-503,710403
2016,IL-516,790791
2016,IL-509,568565
2016,IL-515,902088
2016,IL-507,1788852
2016,IL-504,1891803
2016,HI-500,2146702
2016,IA-501,4755436
2016,IA-500,712980
2016,GA-505,1360498
2016,GU-500,1121767
2016,HI-501,9372980
2016,IL-514,4411902
2016,IL-510,64921879
2016,IL-502,2137755
2016,IA-502,3370014
2016,ID-500,901578
2016,ID-501,2767872
2016,IL-517,1622893
2016,LA-504,1896763
2016,LA-502,3884305
2016,LA-509,12763966
2016,KY-501,9448427
2016,KY-500,8113444
2016,LA-500,2477638
2016,LA-508,1084405
2016,LA-506,2232580
2016,MA-510,1722258
2016,LA-503,18924229
2016,LA-507,719772
2016,LA-505,1619854
2016,IL-501,1528983
2016,IN-502,11424156
2016,IN-500,1435007
2016,IL-513,438717
2016,IL-500,975924
2016,IL-519,650720
2016,KS-502,2479662
2016,KS-503,1780468
2016,KY-502,1501736
2016,IN-503,5030641
2016,KS-505,677397
2016,KS-507,2594677
2015,NV-501,1575244
2015,NY-606,727899
2015,NY-523,1556533
2015,NM-500,5681370
2015,NV-502,610198
2015,NV-500,13369068
2015,NY-502,252674
